Title,Author,Text,Resource,Label
Covid-19: Virus 'back under control' says Matt Hancock,[],"Getty Images Copyright: Getty Images

Community testing is being seen as a crucial development to get the UK through winter until the vaccines arrive.

This refers to the use of rapid testing to spot asymptomatic cases – people who do not have symptoms.

It is what the government was referring to as the ""moonshot"" programme a few months ago.

Local authorities are being given access to these tests to try to root out the virus among people who do not know they have it.

It was one of the tools that Liverpool has used over the past month or so, during which infection levels have been reduced three-fold.

Councils across the country are likely to offer it to people in neighbourhoods with high infection rates and to target high-risk workplaces like food factories.

Nationally it is being used to test care home visitors and help university students return home for Christmas.

But despite the optimism among ministers, there are words of caution.

These tests were never intended for community use like this. When used by untrained people they may only spot half of positive cases.

The government is pushing the boundaries. The effectiveness of this programme is far from certain.",BBC,1
I'm A Celebrity: AJ Pritchard will not be told his grandmother has died until leaving castle,[],"""AJ therefore discussed with the family before entering the castle that if something did happen to nanna whilst he was away that he wouldn't want to be told until he left the castle and that, in her honour, he would complete his commitment to the show, with a view to doing her and the family proud.",BBC,1
Lewis Hamilton to guest edit BBC Radio 4's Today programme,[],"It is not yet known which topics Hamilton will tackle for 2020. However, two-time Booker prize-winning writer Atwood will be exploring the idea of change and will speak to Thunberg about the adaptations we should make to save the planet.",BBC,1
Rita Ora 'sorry' for breaking lockdown rules to attend birthday party,[],"Police have the power to break up groups larger than six and those who ignore officers could be fined £100, doubling with each offence to a maximum of £3,200.",BBC,1
BBC 100 Women 2020 Masterclasses,[],"The BBC 100 Women Masterclasses are coming to an end, but before we go, we want to share two playlists with you.

The ""Queen of African music"" Angélique Kidjo has put together some of her favourite tunes especially curated for BBC 100 Women.

And trailblazing rapper Ana Tijoux has also made a bespoke playlist for us to - you can listen to it here .",BBC,1
Covid-19: Drinkers in tier two 'could order Scotch egg' as substantial meal,[],"""Often that might be as a starter but yes I think it would, but this is a term that's understood in licensing... you can have the concept of a table licence for alcohol that also requires you to serve a substantial meal.",BBC,1
Nottingham student halls party broken up by police,[],"""However, the current national restrictions are in place to protect the wider public from harm and we will keep enforcing them for as long as we need to.",BBC,1
Italy's Calabria has two pandemics: Covid and the mafia,[],"""The second wave has hit us much harder than the first,"" he says, as he guides us between beds of patients on assisted breathing. ""We are lacking staff - and the limited ones we have are doing several extra shifts."" One of the female patients is conscious, in a ventilation helmet. She manages a brief wave of her hand: a small gesture to lift the spirits of the exhausted doctors.",BBC,1
Covid: Alcohol ban for Welsh pubs and restaurants from Friday,[],"Tom Simmons, the chef and co-owner of Thomas in Pontcanna, Cardiff, said: ""The spend in our restaurant is around 70% on food and drink - and we will lose customers who know they can't have a drink with their meal. Many won't come back because of that.""",BBC,1
Public inquiry is ruled out into lawyer's murder,[],You can receive Breaking News on a smartphone or tablet via the BBC News App. You can also follow @BBCBreaking on Twitter to get the latest alerts.,BBC,1
SNP conference: £500 'thank you' payment for healthcare staff,[],"She added: ""Initiatives like this are not just about providing practical help to those who need it most - they are an expression of our values and of the kind of country we are seeking to build.""",BBC,1
His Dark Materials - Can you find the Subtle Knife?,[],"Oops you can't see this activity!

To enjoy the CBBC website at its best you will need to have JavaScript turned on.

For more help please visit the CBBC FAQ",BBC,1
Saved By The Bell apologises to Selena Gomez for kidney transplant joke,[],As a kidney donor I want to show love and let other donors know that you are not alone. You are seen. You are appreciated. You are so brave and your selfless act is very much appreciated and valued! 🙏🏽,BBC,1
