Title,Author,Text,Resource,Label
76 Franciscan Nuns From Same German Monastery Test Corona Positive,['Breitbart London'],"BERLIN (AP) – Seventy-six Catholic nuns have tested positive for COVID-19 after an outbreak at a Franciscan convent in northwestern Germany, church authorities said Tuesday.

Another 85 nuns received negative test results at the monastery in Thuine, not far from the Dutch border, the convent’s Mother Superior told The Associated Press.

“We are grateful that so far nobody is in the hospital,” Sister Maria Cordis Reiker said.

Local health authorities put the the entire monastery under quarantine late last week after the first cases of coronavirus were discovered there. Most Catholic nuns in Germany are elderly women because convents have had difficulties for decades recruiting young women for their cause.

Reiker said they were still waiting for the test results of the 160 non-clerical employees of the monastery, including nurses working at the monastery’s old people’s home, and others working at the monastery’s kitchen and wash house.

The nuns also run a boys´ boarding school and several other schools including a vocational school.

“We don’t know how things will continue regarding our schools, it’s all still in flux,” she said.

She said local health and school officials were in touch with the schools.

Overall in Germany, 13,604 more people tested positive over the last 24 hours and 388 others died of COVID-19, the country’s national disease control center, the Robert Koch Institute, reported.

While the number of new virus cases among younger people is decreasing in Germany, it´s going up among older people, the institute said.",BreitBart,-1
Boris Faces Massive Tory Rebellion over Coronavirus Restrictions,['Victoria Friedman'],"Boris Johnson is facing a rebellion of up to 100 Conservative MPs planning to vote against putting 99 per cent of England under the top two strictest coronavirus measures.

The prime minister’s proposals from last week revealed that despite England being under a month-long lockdown during November, more of the country will find itself in a higher tier coming out of shutdown than going in, with just Cornwall, the Isles of Scilly, and the Isle of Wight in Tier 1.

Conservative MPs were outraged by the recommended demarcations, calling the measures “authoritarian”, with others saying that the “wheels are coming off the government’s arguments” to continue imposing them.

14.6 million more people in England are now in Tier 3 compared to pre-lockdown, when cases were also falling. Meanwhile, non-Covid deaths at home are rising way above the 5 year average as many are too scared or unable to get to hospital. Lockdowns don’t work. pic.twitter.com/wtNDkMJjli — The Brexit Party (@brexitparty_uk) November 29, 2020

MPs are set to vote on the measures in the House of Commons today, with media reporting that as many as between 50 and 100 Tories will rebel against their own government and vote against them, including Sir Graham Brady, chairman of the influential backbench 1922 Committee.

The Guardian has also reported that Labour plans to abstain from voting, because the financial support, derived from taxpayers, for the hospitality industry must go further than the government’s recovery package.

Tier 2 bans socialising indoors with anyone outside their house or support bubble and limits it to six outdoors, while Tier 3 prohibits any mixing with people not in your household or bubble inside or in most outdoor settings. Tier 3 also sees pubs, bars, and restaurants close unless they can function as takeaways, while in Tier 2, alcohol at hospitality venues can only be served with a ‘substantial meal’.

Conservative lockdown sceptics from the COVID Recovery Group won a minor battle in forcing the Johnson administration to release the impact assessments that informed the government’s decision, but MPs are said to be disappointed with the document, described as “thin” and containing a “rehashed” and frustrating analysis.

UK Minister: You Might Be Banned from Venues Without Vaccine Passport https://t.co/f0UOh7YnkY — Breitbart London (@BreitbartLondon) December 1, 2020

Chairman of the Covid Recovery Group, Mark Harper, said: “Even with so little time, the government’s analysis seems to be collapsing under the glare of scrutiny.

“Before the current lockdown, incorrect death and hospital capacity modelling was leaked into the public domain to justify it. We asked for full details. We have asked repeatedly for the information that vindicates these hospital projections, and they have not been forthcoming.

“We are now seeing that, once again, the wheels are coming off the government’s arguments.”

Former Conservative Party leader Sir Iain Duncan Smith called the document a “cut and paste job”, insinuating that the government had provided no new analysis at all.

However, despite the anticipated massive Tory rebellion and Labour abstaining, the proposals are expected to pass with support from the Conservative “payroll vote” government ministers and Johnson loyalists in the backbench, as well as a handful of Labour MPs defying Sir Keir Starmer.",BreitBart,-1
Tucker Carlson: ‘Dr. Fauci Was Revealed as a Power-Mad Incompetent’,['Jeff Poor'],"Monday, Fox News Channel’s Tucker Carlson opened his program questioning the decisions of National Institutes of Allergy and Infectious Diseases director Anthony Fauci, including closing down schools to children, a segment of the population that does not appear to be as vulnerable to the threat of COVID-19.

Carlson insisted Fauci could have intervened earlier and prevented Draconian measures from being taken with regards to coronavirus and education.

Transcript as follows:

CARLSON: I hope you had a great and relaxing Thanksgiving weekend, away from the endless drone of news. If you somehow managed to pull that off, a few days of peace and happiness with the ones you love, you found it was like a spa treatment. You’re obviously better off for it.

But you also may be wondering what happened? What did you miss over the weekend? And we’re here to tell you.

For starters, Joe Biden broke his foot in a couple of places. It sounds serious, but don’t worry about it. Biden was just out playing with his dog as healthy, vibrant adults in full command of their faculties are not at all fragile and fading often do. It could have happened to anyone. Seriously, it’s totally normal.

CNN, in fact, wrote a piece congratulating Biden for it. Biden’s injuries are far better than Donald Trump’s. So don’t ask questions. You’ve got bigger stories to worry about in the news landscape.

For example, did you hear that Joe Biden picked women to lead the White House Communications Office? That was a historic moment. Nothing like that has happened in this country since the presidency of Donald Trump. Another triumph for the forces of identity. Systemic sexism finally in retreat. Nothing can stop Joe Biden from smashing the glass ceiling, not even his dog.

So that’s what you missed.

Oh, and one other thing. The country’s public health establishment has tortured your children for eight months for no apparent reason. That happened. That story has not received a lot of coverage, but it has been confirmed tonight. The authorities have admitted 60 million American children languishing in their rooms since spring, sitting in front of screens, learning nothing, isolated from human contact, in many cases driven to mental illness.

We can now report there was no reason for any of that. The experts were wrong. They had no idea what they were doing. But the most amazing part — and this really is the headline of the story — is that they knew they were wrong when they did it. But they kept lying about it, even as American children began to kill themselves.

On Sunday in New York, city officials all but admitted this. They announced the reopening of elementary schools. Those are the same schools that they closed fewer than two weeks ago. Now, from a medical standpoint, nothing has changed. New York didn’t get an early shipment of the Pfizer vaccine. There wasn’t some groundbreaking new research paper that revolutionized our understanding of the coronavirus, nothing like that at all.

In fact, parents simply had enough and they forced Bill de Blasio to admit the obvious. This virus is not a threat to children. As de Blasio put it in that weird euphemistic way that dumb people speak, quote, “We know that the health realities for the youngest kids are the most favorable.” Well, yes, we do know that. We’ve known it for a long time. We knew it when Bill de Blasio shut down New York schools.

And Tony Fauci knew it, too, though he didn’t say anything about it. Now, he has decided to say something about it eight months late. Here’s Anthony Fauci on Sunday. And as you watch this, keep in mind that this man on the screen is leading our response, America’s response to the coronavirus.

(BEGIN VIDEO CLIP)

DR. ANTHONY FAUCI, DIRECTOR, NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES: Close the bars and keep the schools open is what we really say. Obviously, you don’t have one size fits all. But as I’ve said in the past, and as you accurately quoted me, the default position should be to try as best as possible within reason to keep the children in school or to get them back to school.

If you look at the data, the spread among children and from children is not really very big at all. Not like one would have suspected.

(END VIDEO CLIP)

CARLSON: Oh, I’ve always said you should keep the schools open says the man in charge of America’s coronavirus response to a nation whose schools have been closed for months. Right. Yes, I always said that. Check the tape. Because, quote, “If you look at the data,” says Anthony Fauci.

But wait a second. Why is this just now occurring to Tony Fauci? Isn’t this Fauci’s entire job to quote, “look at the data”? Yes, it is. And yet somehow he never thought to do that. That’s our corona czar.

Over the summer when the data look the same as they do tonight, Fauci explained that he couldn’t really say, if kids should be allowed to go to school, it was quote, “complicated.” Except it wasn’t complicated. It wasn’t complicated then, it’s not complicated now.

In April, many months ago, a study by the “Journal of the American Medical Association” found that school-aged children who get the coronavirus, quote, “Develop only mild symptoms and typically recover within two weeks.” Months later, same story, in June, a study in “The Lancet” affirmed this, quote, “COVID-19 is generally a mild disease in children, including in infants.” Other studies found the exact same thing. No studies found anything but that. There was never much question about it.

But if you’re looking for more evidence, check the death rates. Those are publicly available. Deaths are not hard to track. Consider the State of New Jersey. That’s one of the states hit hardest by the coronavirus. So far in New Jersey, not a single school-aged child has died from the coronavirus, not one. Many children have died from car accidents and fires and drug ODs and suicide. None have died from COVID-19.

In California, the biggest state in the United States, 40 million people live there, a total of two people under the age of 18 have died from the coronavirus — two. The numbers nationwide according to the latest C.D.C. numbers, 123 Americans under the age of 18 have died from the coronavirus, 123 out of 350 million.

We shut the schools anyway, crushing millions of kids, affecting their futures in ways we can’t even understand at this point. But it’s clear it’s bad. Really bad in some cases.

So the question is, why did we do this? And the answer is to save the teachers. The teachers unions pushed this and their servants in the Democratic Party obey. They’re the single largest donors to the Democratic Party, so of course they did.

So unionized teachers get to stay home collecting checks, while you’re losing your jobs because classrooms are just too dangerous. It’s like the Battle of the Bulge five days a week. And that’s exactly what they’ve done.

But what does the data say about this? Well, for teachers under the age of 50, and that’s the vast majority of them, the odds of surviving a coronavirus infection are roughly 99.98 percent. But we should tell you that for teachers under 70, the risk of dying escalates to a terrifying 99.5 percent chance of survival. And by the way, teachers do get sick, it likely won’t be from teaching. Children appear not to spread the coronavirus, surely not effectively. We’ve done this for a long time.

Back in May, researchers in Europe found, quote, “Children do not appear to be drivers of transmission. And we argue that reopening schools should be considered safe accompanied by certain measures.” Again, none of this is new. Tony Fauci, that data guy knew it at the time. And so did anyone in the news media who could read which is still most of them, and yet they kept lying about it, all of them.

In July, here is just one example, a panel of physicians and experts on infectious disease went on television to explain that going to school isn’t dangerous for anyone, they would send their own kids. Watch the news anchors’ reaction.

(BEGIN VIDEO CLIP)

UNIDENTIFIED MALE: Would you let your kids go back to school?

UNIDENTIFIED FEMALE: I will. My kids are looking forward to it.

UNIDENTIFIED MALE: Yes. Period. Absolutely.

UNIDENTIFIED FEMALE: Absolutely. As much as I can.

UNIDENTIFIED MALE: Without hesitation?

UNIDENTIFIED FEMALE: Without hesitation. Yes.

UNIDENTIFIED MALE: I have no concerns about sending my child to school in the fall.

UNIDENTIFIED FEMALE: I would let my kids go back to school.

JOHN TORRES, NBC NEWS CORRESPONDENT: Dr. John Torres, NBC News.

UNIDENTIFIED MALE: They all said yes.

(END VIDEO CLIP)

CARLSON: “They all said yes,” says the newsreader, feigning shock. Can you believe that? Doctors have concluded their own children should go to school. They must be crazy. They are crazy. What do doctors know about coronavirus?

What was this about? And of course, you know the answer. It was about Donald Trump.

Donald Trump in this case agreed with the doctors. Therefore, the doctors had to be mocked and ignored. Here’s what the President said about schools in July.

(BEGIN VIDEO CLIP)

DONALD TRUMP (R), PRESIDENT OF THE UNITED STATES: We have to open our schools. Open our schools. Stop this nonsense. We open our schools.

(END VIDEO CLIP)

CARLSON: “Stop this nonsense. We reopen our schools.” Now in point of fact, as a scientific matter that turned out to be sound policy based on sound data. But the media told us the exact opposite of that. One headline at CNN warned of, quote, “The very clear dangers of Donald Trump’s push to reopen schools.” Google didn’t censor that as misinformation, it should have.

Another headline called out, quote, “Donald Trump’s mind-bending logic on school reopenings.” Mind-bending logic. Those damn data again, Joe Biden’s campaign didn’t want to hear it. They didn’t want you to hear it either. School was dangerous. Period.

Donald Trump claimed the opposite. Therefore, it was too dangerous to send your kids or for you to decide to send them. Watch.

(BEGIN VIDEO CLIP)

UNIDENTIFIED MALE: Ignoring how the virus spreads, risking teachers and parents’ lives, going against the advice of experts.

TRUMP: It’s had very little impact on young people.

UNIDENTIFIED MALE: Do you trust him to do what’s best for our children? Because this is not a test.

(END VIDEO CLIP)

CARLSON: Yes, going against the advice of experts. In this country, that’s no longer allowed, even and maybe especially when the experts are completely wrong. What’s the message? The message couldn’t be clearer. They’re not your kids anymore. If they were your kids, you could make the key decisions about their lives, but they’re not.

Those kids, your former kids belong to Tony Fauci now. Tony Fauci, America’s parent. He’ll make the decisions about your kids, thank you very much, in conjunction with the nation’s uber mom, who by the way, is also 80 years old, Mrs. Nancy D. Pelosi.

Watch Mrs. Pelosi fret about the health of our children.

(BEGIN VIDEO CLIP)

DANA BASH, CNN CHIEF POLITICAL CORRESPONDENT: Are you confident that students and teachers will go back safely to school in the fall?

REP. NANCY PELOSI (D-CA): No, I think what we heard from the Secretary was malfeasance and dereliction of duty. This is appalling. They’re messing. They’re messing — the President and his administration are messing with the health of our children.

Going back to school presents the biggest risk for the spread of the coronavirus.

(END VIDEO CLIP)

CARLSON: If that’s not criminal, what she just said, we may need to redefine what it means to commit a crime. Sixty million school-aged children affected by a decision that was wrong and many of them hurt for life, but we just blow right past it and allow political leaders like that to blow right past with phrases like the health of our children.

What happens when you lock children in their rooms in front of screens and prevent them from experiencing human contact? Has Nancy Pelosi ever been asked that question? Has she ever wondered about the answer?

According to the Centers for Disease Control, a total of 522 children between the ages of five and 14 died of suicide in 2017. And that same age group, only 42 children have died from the coronavirus so far this year. What are those suicide numbers going to look like if we continue to take Nancy Pelosi’s advice about the health of our children? We’re going to have some indications of that. Future years will reveal the whole picture and you can be certain it’ll be horrifying.

But for right now, with incomplete data, here’s what we know. In St. Paul, Minnesota, for example, 40 percent of all grades given this year have been Fs, and you can be certain they are grading lightly, but it’s still double the normal amount of failures.

In Fairfax County, Virginia, the number of middle and high school students with failing grades in two or more classes has increased by 83 percent. The number of students with disabilities who are failing two or more classes has increased by more than 100 percent.

In a lot of school districts, huge numbers of kids never even registered for online classes. Do you have kids? Do you know anyone who does? They are learning nothing. Those are real consequences.

If you want to know the health of a society, look at its young people. Look at its schools. These are obvious points that are being roundly ignored and anyone who makes them is attacked for making them. We’re going to look back on this woman in shame.

Back in June, we interviewed Dr. Scott Atlas. He was then a member of the White House’s Coronavirus Taskforce. He was one of the very few people then or now brave enough to make a simple point. Here’s what he said.

(BEGIN VIDEO CLIP)

DR. SCOTT ATLAS, FORMER MEMBER OF WHITE HOUSE CORONAVIRUS TASKFORCE: But the point about the schools is really critical because this is the most irrational public policy probably in modern history. Children have virtually zero-risk of getting a serious complication, virtually zero risk of dying. You don’t lock down the children because you are personally afraid. It is totally outrageous.

(END VIDEO CLIP)

CARLSON: Dr. Scott Atlas was attacked as a monster for saying that. Really attacked. Dr. Tony Fauci, by contrast, was deified. Signs throughout Northwest DC said I believe, Dr. Fauci, but the truth is that Scott Atlas was right and Dr. Fauci was revealed as a power-mad incompetent.

That’s not our opinion, by the way, the data prove it.",BreitBart,-1
David Mamet Calls Out ‘Experts’ and Questions Lockdowns: ‘The Virus Here Is Government’,['David Ng'],"Acclaimed playwright David Mamet has added his distinctive voice to the growing chorus of dissenters who are questioning the effectiveness of government-mandated masks and lockdowns to combat the coronavirus.

In a recent op-ed for the Wall Street Journal, the Glengarry Glen Ross playwright slams the so-called “experts” and advisers whose counsel has led to the destruction of large swaths of the U.S. economy. These people will likely never pay the price for their errors, but everyone else will, he noted.

“The virus here is government—or at least the incompetents who advise our rulers and cannot admit the legitimacy of dissension. Absent intervention, this virus may eventually kill the host organism,” Mamet wrote.

Those closest to the boss will have the most influence—and they often keep it, even in failure, writes David Mamet https://t.co/i9OVqCbQvQ — WSJ Editorial Page (@WSJopinion) November 28, 2020

“We all have to trust others for their expertise, and we all make mistakes. The horror of a command economy is not that officials will make mistakes, but that those mistakes will never be acknowledged or corrected.”

The playwright noted that experts have issued contradictory messages about the effectiveness of masks, citing the prestigious New England Journal of Medicine that published an article saying masks are useless outside health-care facilities, only to issue a quasi-retraction.

He also cited the example of a friend who owns a restaurant and is going broke. “One is ‘permitted’ to sit at his tables and eat without a mask. Indeed, how would one eat while wearing one? Does the virus know that one is sitting down?”

David Mamet compares today’s coronavirus advisers to failed advisers of the past, citing the case of Prof. Frederick Lindemann, a confidant to Winston Churchill. During World War II, Lindemann downplayed the idea that the Germans were developing a rocket capable of bombing London, which became the V-2. He was wrong, but never paid a professional price for his mistake.

Mamet also cites Joseph Stalin’s science adviser, Trofim Lysenko, who came up with the idea of training crops to grow in winter. It was a disaster that contributed to mass starvation in communist Russia and China.

The playwright even brings up the debate around climate change. “Now we have climate change and its attendant alarmists,” he added. “The news media, backed by those parts of the ‘scientific community’ the media chose to honor, presented this analysis as though it were indisputable fact. In fact, it was riddled with problems.”

Today, millions of people face economic ruin as a result of the coronavirus and the policies crafted by experts who are advising the government, he wrote.

“A pandemic was allowed to destroy the American economy. Tens of millions are driven out of work, cover their faces, and walk down the streets in fear of their neighbors.”

Follow David Ng on Twitter @HeyItsDavidNg. Have a tip? Contact me at dng@breitbart.com",BreitBart,-1
Coronavirus Robs Biblical Bethlehem of Christmas Cheer,['Breitbart News'],"BETHLEHEM, West Bank (AP) — The coronavirus has cast a pall over Christmas celebrations in Bethlehem, all but shutting down the biblical town revered as Jesus’ birthplace at the height of the normally cheery holiday season.

Missing are the thousands of international pilgrims who normally descend upon the town. Restaurants, hotels and souvenir shops are closed. The renowned Christmas tree lighting service will be limited to a small group of authorized people, as will church services on Christmas Eve.

“Bethlehem is dead,” said Maryana al-Arja, owner of the 120-room Angel Hotel on the outskirts of Bethlehem.

The hotel was the site of the West Bank’s first coronavirus outbreak — when a group of Greek tourists came down with the virus last March.

She kept her 25 workers on staff for several months but ultimately couldn’t continue to pay them. Al-Arja, who herself was infected with the virus, said she has been forced to close the hotel and lay off the entire staff because there is no sign of the pandemic ending or tourists visiting anytime soon.

“We had 351 tourist groups booked in our hotel this year, each one 150 people,” she said. “But they all canceled.”

Elyas al-Arja, the head of the city’s hotel association, said Bethlehem received some 3 million tourists in 2019. With Israel, the main entry point for international visitors to the region, banning tourists because of the coronavirus crisis, and the West Bank’s border crossing with Jordan closed to foreigners, that number is close to zero this year, he said.

“Sixty percent of the city relies on tourism, and their income disappeared when the tourists disappeared,” said al-Arja, a cousin of the Angel Hotel owner.

The Ambassador Hotel, which is located near the Church of the Nativity, built on the site where Christians believe Jesus was born, has reopened one floor in hopes that some local visitors may want to come celebrate in the coming weeks.

Mahmoud Tarman, the hotel’s receptionist, said the Ambassador has brought back eight of its 60 workers to serve local guests. But with the West Bank’s economy devastated by repeated lockdowns, it remains unclear how many people will come.

“At this time of the year, this empty hotel would be bustling with life. But as you see, there is no life, not even a Christmas tree yet,” he said as he pointed at the empty lobby.

The Palestinian Authority, which administers parts of the Israeli-occupied West Bank, this week imposed a new nighttime lockdown to help contain a spike in coronavirus cases. People must remain indoors from 7 p.m. until 6 a.m., and Bethlehem is included in the lockdown.

Officials say the lockdown could be extended through Christmas and into the new year if the infection levels don’t come down. The Health Ministry has reported a total of about 65,000 coronavirus cases in the West Bank, and over 620 deaths.

Bethlehem’s mayor, Anton Salman, said the city had planned to receive 3,000 invited guests, including local scout troops and musical bands from around the world that normally entertain visitors during Christmas Eve festivities.

He said the famed Christmas tree lighting, scheduled on Thursday, will be limited to just 15 guests, including local mayors, the district governor and the Latin Patriarch and other clergy. The 85-year-old Palestinian president, Mahmoud Abbas, who usually joins the celebration, has been invited but has not said whether he will attend.

Midnight Mass, a solemn event led by the Latin Patriarch that is usually attended by religious leaders, local VIPs and hundreds of pilgrims from around the world, has also been scaled back, Salman said. He said officials are still working on the guest list, but it is expected to include religious leaders and some foreign diplomats. The event will be closed to the general public but broadcast live for people to watch.

“No one can hold the responsibility of inviting large numbers of people to Christmas events,” he said. “Nothing will be the same during the pandemic.”",BreitBart,-1
SF Archbishop Says New Church Closures Violate Religious Freedom,['Thomas D. Williams'],"San Francisco Archbishop Salvatore Cordileone said this weekend a new ban on worship violates a “a natural and a Constitutional right.”

Archbishop Cordileone objected to the state’s lumping together of religious worship with “non-essential indoor activities such as gyms, movie theaters, and museums” while arbitrarily allowing “for indoor retail at 25 percent capacity and permits massage parlors, hair and nail salons, and tattoo parlors to operate indoors.”

In his statement, the archbishop criticized a new health order from the state of California that places San Francisco and San Mateo Counties into a more restrictive “purple” tier of coronavirus restrictions, which unfairly denigrates the right to religious worship.

“This is precisely the kind of blatant discrimination to which the Supreme Court gave injunctive relief in New York,” Cordileone said, in reference to last Wednesday’s SCOTUS ruling barring the state from enforcing certain attendance limits at houses of worship.

Even in a pandemic, “the Constitution cannot be put away and forgotten,” Justice Neil Gorsuch wrote in the 5-4 decision. “The restrictions at issue here, by effectively barring many from attending religious services, strike at the very heart of the First Amendment’s guarantee of religious liberty.”

England’s faith leaders have united in calling on the UK government to permit public worship during the forthcoming lockdown in England, insisting that such worship is “essential.” https://t.co/FohO0VnRAE — Breitbart News (@BreitbartNews) November 3, 2020

The San Francisco archbishop insisted in his statement that for Catholic Christians, worship of God and the reception of the sacraments are “essential” activities.

“The government is demoting worship to the same status as watching a movie: ‘non-essential,’” Cordileone said. “But worship is both a natural and a Constitutional right. My people want to receive the Body and Blood of Christ; they need it, and have every right to be free to do so.”

Cordileone also insisted that his archdiocese has adhered scrupulously to measures mandated to curb the spread of the coronavirus.

“Catholics in San Francisco are absolutely committed to public safety in conducting worship services,” he said. “Our protocols require masks, social distancing, sanitation and ventilation.”

“But the government still chooses to treat worship as less important than shopping for shoes,” he added.

While declaring that he is “deeply sympathetic to public health concerns about a surge in COVID hospitalizations,” the archbishop also noted that “we know of no cases of transmission of the virus as a result of in-person worship inside of our churches.”

Follow @tdwilliamsrome",BreitBart,-1
Defiant French Priests Break Lockdown Rules to Keep Churches Open,['Chris Tomlinson'],"Lille priests are rejecting the French government’s Wuhan coronavirus restrictions by allowing more than 30 parishioners in their churches at one time.

The archbishop of Lille, Laurent Ulrich, spoke out against the government’s restrictions, calling them “arbitrary, discriminatory and unrealistic”, and told the priests under him to “welcome all believers” into their churches.

On Sunday, shortly before mass at the Notre-Dame de la Treille Cathedral, Father Bruno Mary commented on the situation, saying: “We are not outlaws, we are just trying to be intelligent.”

“Monsignor Ulrich told us to do what we could with respect for sanitary measures,” he added, according to 20 minutes.

French Catholics Gather to Protest Church Closures Under Lockdown https://t.co/fOM699igck — Breitbart London (@BreitbartLondon) November 16, 2020

Father Mary said that he and his colleagues took in multiple groups of 30 people into the church, which typically holds around 1,200 people. “We organise ourselves as best we can, taking into account vulnerable people,” he said.

“We understand that the government is focused on the economy. People have to live. But churches are places of comfort that people need right now,” Father Mary said.

Over the weekend, the French Council of State, France’s highest administrative court, ordered the government to reexamine the restrictions on churches within three days, after arguing that they were “disproportionate”.

“If some establishments remain open to the public, [such as cinemas or theatres,] while places of worship remained closed, the activities carried out there are not of the same nature, and the fundamental freedoms that are at stake are not the same,” the Council of State said, rationalising that the freedom to worship has a different status and requires special protection under the law.

The Council of State’s order comes after several protests in early November by Christians outside of churches across the country after the government of President Emmanuel Macron introduced the 30-parishioner limit.

Hundreds of protesters gathered in various cities, including as many as 600 in Versailles and 400 in Nantes over a single weekend.

“We follow protocols, there has not been an outbreak of contamination in churches to my knowledge. We want to assert our right to Mass. This is a matter of freedom of religion,” one protester said.",BreitBart,-1
L.A. Supervisor Sheila Kuehl Dines at Outdoor Restaurant After Voting to Ban Outdoor Dining,['Joel B. Pollak'],"Los Angeles County Suprevisor Sheila Kuehl reportedly dined at an outdoor restaurant in Santa Monica, hours after casting a decisive vote to ban outdoor dining in the county.

EXCLUSIVE: Just hours after L.A. County Supervisor @SheilaKuehl voted to ban all outdoor dining last Tuesday, which she described as “a most dangerous situation”, we’ve learned that she dined outdoors at Il Forno Trattoria in Santa Monica. https://t.co/8IOtAcpV50 @FOXLA — Bill Melugin (@BillFOXLA) December 1, 2020

Bill Melugin of local Fox affiliate KTTV-11 reported Monday:

During Tuesday’s L.A. County Board of Supervisors meeting, Kuehl referred to outside dining as “a most dangerous situation” over what she described as a risk of tables of unmasked patrons potentially exposing their servers to the coronavirus. “This is a serious health emergency and we must take it seriously,” Kuehl said. “The servers are not protected from us, and they’re not protected from their other tables that they’re serving at that particular time, plus all the hours in which they’re working.” Kuehl went on to vote in support of restricting outdoor dining in Los Angeles County, which passed by a 3-2 margin of the Board of Supervisors.

Kuehl’s meal was apparently taken before the ban went into effect.

As new COVID-19 cases remain at alarming levels and the number of people hospitalized continue to increase, the LA County Health Officer Order will be modified to restrict dining at restaurants, breweries, wineries and bars, effective Wednesday, November 25 at 10:00 p.m. pic.twitter.com/SQo08dF63A — Los Angeles County (@CountyofLA) November 22, 2020

This Thanksgiving, I am most grateful for socially-distanced celebrations, and everyone making sacrifices to #SlowTheSpread in the spirit of compassion for others. Even as you stay safe, I know you can have a Happy Thanksgiving! pic.twitter.com/Bjh3wm147k — Sheila Kuehl (@SheilaKuehl) November 26, 2020

Los Angeles County has shut down outdoor dining for three weeks, effective Nov. 25. The county, and the state, are experiencing a coronavirus spike.

Fellow supervisor Janice Hahn, who voted against the outdoor dining ban, told KTTV’s Elex Michaelson that the danger of public officials doing what they have told constituents not to do means that they are “beginning to lose the trust of the public.”

She said there was not sufficient scientific evidence to support the ban on outdoor dining, given the economic cost before the holidays.

Joel B. Pollak is Senior Editor-at-Large at Breitbart News and the host of Breitbart News Sunday on Sirius XM Patriot on Sunday evenings from 7 p.m. to 10 p.m. ET (4 p.m. to 7 p.m. PT). His newest e-book is The Trumpian Virtues: The Lessons and Legacy of Donald Trump’s Presidency. His recent book, RED NOVEMBER, tells the story of the 2020 Democratic presidential primary from a conservative perspective. He is a winner of the 2018 Robert Novak Journalism Alumni Fellowship. Follow him on Twitter at @joelpollak.",BreitBart,-1
"Kentucky AG: Closing Religious Schools Violates First Amendment, ‘We’re Ready’ to Send Lawsuit to SCOTUS",['Ian Hanchett'],"On Monday’s broadcast of the Fox News Channel’s “Fox & Friends,” Kentucky Attorney General Daniel Cameron (R) stated that he will send his lawsuit arguing that Kentucky Gov. Andy Beshear’s (D) school closures violate the First Amendment because they have closed down religious schools to the Supreme Court.

Cameron said that the governor has “repeatedly” infringed on “the First Amendment free exercise of religion here in the commonwealth of Kentucky. Again, I respect his responsibility to keep people safe. But we have to safeguard our religious freedoms here in Kentucky. And so, when you tell folks who send their kids to religious-affiliated schools, which is an act of worship within itself, that they cannot go to school, it infringes upon the First Amendment rights.”

He added, “We won at the federal district court, who said that there was — it was appropriate to issue a statewide injunction because he’d infringed upon First Amendment rights. A panel at the 6th Circuit Court of Appeals disagreed and stayed that injunction. And so, now we’re ready to send our case to the Supreme Court. We’ll be applying for review by the Supreme Court, hopefully, today.”

Follow Ian Hanchett on Twitter @IanHanchett",BreitBart,-1
FNC’s Geraldo Rivera: Trump Must Stop Attacking Election Results — ‘Enough Is Enough Now’,['Pam Key'],"Fox News Channel’s Geraldo Rivera called on President Donald Trump to stop attacking the presidential election as fraudulent because it could cost the Republican Party the Georgia Senate races and control of the Senate during an appearance on Monday’s broadcast of “The Story.”

Rivera said, “If people lose faith in Georgia’s electoral system and not show up, then they will be gifting Democrats control of the United States Senate. The stakes are so very high. They are astronomical. You know, as a person who has been accused of giving the president too much of the benefit of the doubt, I can’t imagine why the Republican senators aren’t rallying around the Georgia Republicans – the secretary of state and the governor there – and saying that, ‘The system in Georgia will work. You got to vote. Everything is at stake here.’ Rather than attacking the system, not only in Georgia but nationwide, undermines faith in the system, discourages people.”

He continued, “I think that the president is on the wrong course here. I think he has got to take a real gut check between now and Saturday. With all due respect, and you know I love the guy, but enough is enough now.”

He added, “This is the job he has now as the head of the GOP, as the commander-in-chief of the country – he’s gotta rally the voters in Georgia. Control of the Senate is in the balance now, and if he allows his personal, you know, annoyance with the secretary of state and Governor Kemp to rule, then I think it’s going to be a devastating loss for the Republican Party.”

Follow Pam Key on Twitter @pamkeyNEN",BreitBart,-1
