Title,Author,Text,Resource,Label
Watch Live: Witnesses Testify on Michigan Voter Fraud; Thousands of Illegal Votes Counted for Biden in the Dark of Night,[],"Have an important tip? Let us know. Email us here.

Keep up to date with our latest:

Alex Jones Show: Must Watch Tuesday Live: Top Lawyers Advise Trump to Declare “Martial Law,” Hold New Election

Also catch the streams atand

Tune in NOW as we reveal the latest developments in election fraud. Attorney Lin Wood says President Trump should enact “limited martial law” to hold a new presidential election without fraud:

Read Lin Wood’s statement below:

Good morning.



Our country is headed to civil war. A war created by 3rd party bad actors for their benefit – not for We The People.



Communist China is leading the nefarious efforts to take away our freedom.@realDonaldTrump should declare martial law.https://t.co/h3Ym5ytMYt — Lin Wood (@LLinWood) December 1, 2020

Follow Alex Jones on Telegram:

David Knight Show: Atlas Gone, Birx & Fauci Ramp Up Holiday Fear

On this Tuesday transmission of The David Knight Show, we’ll examine the ramping up of COVID hysteria as Trump coronavirus advisor Scott Atlas resigns.

Knight will also interview author Glenn Sunshine about his latest book, “Slaying Leviathan,” to learn about how Christians can fight back against big government.

Watch Live: Atlas Gone, Birx & Fauci Ramp Up Holiday Fear, INTERVIEW ""Slaying Leviathan-Resistance In Christian Tradition"" https://t.co/uneeyN3PSR — David Knight (@libertytarian) December 1, 2020

LIVE 9am EASTERN

➡️Atlas gone, Birx & Fauci ramp up holiday fear campaign

➡️Microsoft patents tech to track ""body language""

➡️INTERVIEW: Glen Sunshine

""Slaying Leviathan-Resistance in Christian Tradition""

➡️More vaccine adverse reactions? Go FASTER — David Knight (@libertytarian) December 1, 2020

Follow David on Telegram:",InfoWars,-1
Twitter Banned Mathematician As He Testified About Election Fraud in Arizona,[],"Have an important tip? Let us know. Email us here.

Keep up to date with our latest:

On Monday, Twitter banned mathematician Bobby Piton’s account as he was testifying before the Arizona senate about clear evidence of voter fraud.

Disclose.tv reported Piton’s account was suspended as he gave his testimony during the hearing.

BREAKING – Twitter suspends the account of @bobbypiton while a gave his witness report at the hearings in #Arizona pic.twitter.com/7DSOzjpeq8 — Disclose.tv 🚨 (@disclosetv) November 30, 2020

During his testimony, Piton claimed he believed the alleged fraud was so overwhelming that the numbers coming out of Arizona could not possibly be accurate.

“If I was an executive at a publicly traded company, I would never sign that [certification], because I risk jail time and having all my money taken from me in lawsuits. So, to answer your question, I would never, ever, have certified,” Piton told lawmakers.

“I’d rather resign than have certified those results,” he added.

Expert witness says he believes the numbers in Arizona are fraudulent based on the data: ""I'd rather resign than have certified those results"" in Arizona today pic.twitter.com/qbDwb76Bg8 — Team Trump (@TeamTrump) November 30, 2020

Over on social media platform Parler, Piton lamented Twitter’s most recent ban, saying, “Just got suspended OFF TWITTER AGAIN… Guess I’m no longer welcomed there anymore…”

Following the 2020 fallout, Twitter, Facebook and other social platforms have been working overtime to censor any information regarding possible election fraud.

How many other legal witnesses will Big Tech try to shut up before this is all over?

Watch Piton’s full testimony below:

Breaking GA / PA Confirm Election Fraud – Move To Overturn Biden HOAX Victory",InfoWars,-1
"Et tu, Barr? Attorney General Says DOJ Hasn’t Found Evidence of Fraud That Would “Change Election Outcome”",[],"Have an important tip? Let us know. Email us here.

After weeks of silence, Attorney General William Barr has come out stating the Department of Justice and Department of Homeland Security haven’t seen any evidence of election fraud that would have changed the election outcome.

In a statement to the AP on Tuesday, Barr said the DOJ and DHS haven’t seen fraud on a scale big enough to change the Nov. 3 presidential election.

“To date, we have not seen fraud on a scale that could have affected a different outcome in the election,” Barr said.

Barr claimed that the only mechanism capable of skewing an election would be compromised voting machines, but “so far” haven’t been able to substantiate that.

“There’s been one assertion that would be systemic fraud and that would be the claim that machines were programmed essentially to skew the election results. And the DHS and DOJ have looked into that, and so far, we haven’t seen anything to substantiate that,” Barr said.

Barr then explained that many of the election fraud allegations should be handled in civil lawsuits where “top-down audits” could be conducted, because many of those allegations are not “systemic” and therefore don’t fall under the DOJ’s purview.

From the AP:

He said people were confusing the use of the federal criminal justice system with allegations that should be made in civil lawsuits. He said such a remedy for those complaints would be a top-down audit conducted by state or local officials, not the U.S. Justice Department. “There’s a growing tendency to use the criminal justice system as sort of a default fix-all, and people don’t like something they want the Department of Justice to come in and ‘investigate,’” Barr said. He said first of all there must be a basis to believe there is a crime to investigate. “Most claims of fraud are very particularized to a particular set of circumstances or actors or conduct. They are not systemic allegations. And those have been run down; they are being run down,” Barr said. “Some have been broad and potentially cover a few thousand votes. They have been followed up on.”

Barr’s long-awaited remarks come days after President Trump lambasted the DOJ and FBI for being “missing in action” as many instances of election fraud evidence, backed by affidavits, are being revealed by the day.

“You would think if you’re in the FBI or Department of Justice, this is the biggest thing you could be looking at,” Trump said Sunday. “Where are they? I’ve not seen anything.”

So far, Trump’s legal team has spearheaded bombshell hearings in Pennsylvania, Arizona, and Michigan outlining stunning instances of voter irregularities.

Trump’s legal team responded to Barr’s remarks, arguing there hasn’t even been a “semblance” of a DOJ investigation into the many allegations by poll workers and IT experts they’ve brought forward.

“With all due respect to the Attorney General, there hasn’t been any semblance of a Department of Justice investigation. We have gathered ample evidence of illegal voting in at least six states, which they have not examined. We have many witnesses swearing under oath they saw crimes being committed in connection with voter fraud. As far as we know, not a single one has been interviewed by the DOJ. The Justice Department also hasn’t audited any voting machines or used their subpoena powers to determine the truth,” Trump lawyer Rudy Giuliani said in a statement.

AG William Barr tells AP Justice Department has 'not seen fraud on a scale that could have affected a different outcome in the election.' https://t.co/B7QHytWKlj Trump legal team responds: pic.twitter.com/vjRCbeaRg8 — Byron York (@ByronYork) December 1, 2020

“Nonetheless, we will continue our pursuit of the truth through the judicial system and state legislatures, and continue toward the Constitution’s mandate and ensuring that every legal vote is counted and every illegal vote is not. Again, with the greatest respect to the Attorney General, his opinion appears to be without any knowledge or investigation of the substantial irregularities and evidence of systemic fraud.”

And there’s plenty of evidence of election fraud for the DOJ to look into outside the local and state level.

As Infowars reported, SEC filings have revealed that that the firm which owns Dominion Voting Systems received $400 million dollars from a Swiss bank with close links to the Chinese government less than a month before the election.

Maybe that bit of alarming information is more appropriate for Barr’s DOJ to look into.

In his first interview since receiving a full pardon from President Trump, Flynn outlined the legal path to victory laid out before the president.",InfoWars,-1
"Whistleblower Testimony: USPS Trucker Claims Up To 300,000 Ballots Crossed State Lines",[],"Have an important tip? Let us know. Email us here.

Keep up to date with our latest:

The Amistad Project is set to hold a live press conference for three whistleblowers to provide examples of “significant potential election fraud, some of which affects hundreds of thousands of ballots.”

The press conference will be hosted by Phill Kline, Director of the Thomas More Society’s Amistad Project – a national constitutional litigation organization.

One of the whistleblowers is a Pennsylvania postal truck driver who claims that 144,000 to 288,000 completed ballots were shipped across three state lines in October.",InfoWars,-1
Firm That Owns Dominion Voting Systems Received $400 Million From Swiss Bank Account Funded by Communist Chinese Gov & Companies Before Election,[],"Have an important tip? Let us know. Email us here.

Keep up to date with our latest:

An investigation into SEC filings has revealed that the firm which owns Dominion Voting Systems received $400 million dollars from a Swiss bank with close links to the Chinese government less than a month before the election.

The investigation centers on Staple Street Capital, which acquired Dominion Voting Systems in 2018.

Dominion Voting Systems operates voting machines in 28 states and has been accused by President Trump and his supporters of being involved in deleting millions of votes for Trump in addition to switching votes to Biden on election night.

“On Oct 8, 2020, Staple Street Capital filed SEC Form D offerings and sales amount of $400,000,000 with the Sales Compensation Recipient identified as UBS Securities,” states the investigation, which also notes that another payment of $200,000,000 was received in December 2014.

“UBS Securities is a Swiss investment bank which owns 24.99% of UBS Securities Co LTD, a Chinese Investment Bank. The remaining 75% of UBS Securities CO LTD is owned by the Chinese government,” states the report.

The overall owners of UBS Securities Co LTD are;

– Beijing Guoxiang (33%)

– UBS (24.99%)

– Guangdong Comm. Group [zh] (14.01%)

– China Guodian (14%)

– COFCO Group (14%)

Aside from UBS, the other four owners of UBS Securities are all Communist Chinese front groups.

Beijing Guoxiang is a state owned asset.

Guangdong Comm. Group 100% stakeholder is the Guangdong Provincial Government.

China Guodian is state owned enterprise administered for the SASAC for the state Council

COFCO Group is a state owned enterprise under the direct supervision of the SASAC.

SASAC The State-owned Assets Supervision and Administration Commission of the State Council (SASAC) is a special commission of the People’s Republic of China, directly under the State Council.

The revelation that Dominion Voting Systems has financial ties to the Chinese government via UBS Securities will bolster claims by Trump supporters that foreign actors working on behalf of Communist China may have sought to meddle in the presidential election to help Joe Biden.

Other connections between Dominion Voting Systems and the Chinese government have also emerged in recent weeks, including the company’s Core Infrastructure Manager of Information Technology, Andy Huang, who previously worked for China Telecom, which is “wholly run by the Chinese government,” reported the National Pulse.

View the full document batch here: 1 – 2 – 3 – 4 – 5

Editor’s Note: A previous version of this article incorrectly credited a particular research firm for performing this investigation. That information was erroneous, and this article has been updated to correct that. We apologize for the confusion.",InfoWars,-1
Bizarre: Project Runway Contestant Named “Kovid” Designed Face Mask Outfit in 2019,[],"Have an important tip? Let us know. Email us here.

Keep up to date with our latest:

A 2019 Project Runway contestant named “Kovid” bizarrely designed an outfit sporting a face mask a year before facial coverings became the norm due to the COVID-19 pandemic.

In a surreal clip from Season 17, judges praise designer Kovid Kapoor’s costume complete with a matching “face mask,” which one of the judges proceeds to refer to as “sick.”

them: no one can predict the future



me: there was a designer on Project Runway last year named Kovid and one of his designs featured a face mask which one of the judges repeatedly called “sick.” 😷 pic.twitter.com/wv2eIKeq3H — Jenna Amatulli (@ohheyjenna) November 30, 2020

“Do you mind putting your mask back on?” a judge asks Kapoor’s model.

“What do you guys think of this mask?” another judge asks, as one replies, “sick.”

Watching Season 17 of project runway. Designer named Kovid made an outfit with a face mask almost exactly a year (mar 2019) before the pandemic 🤯 #COVID19 #ProjectRunway #Masks pic.twitter.com/E7V1MyUFaG — m_ali (@dr_mali24) July 6, 2020

2019 Project Runway had a contestant named ""Kovid"" who dressed his model in a face mask. pic.twitter.com/fBZPyBlcQO — Serrajjii (@serrajjii) September 25, 2020

In light of the coincidences with the COVID-19 pandemic, many on social media took to accusing the designer and reality show of employing “predictive programming,” described by researcher Alan Watt as “a subtle form of psychological conditioning provided by the media to acquaint the public with planned societal changes to be implemented by our leaders.”

They love to throw their future plans in our face and LAUGH at us.



The 2019 Project Runway series had a contestant named KOVID who made a face mask to go with his runway look! pic.twitter.com/aSG2ksgOTd — President-Elect BeachMilk (@YellowCube7) November 30, 2020

Kapoor responded to the controversy on Monday by retweeting a clip of the episode along with two laughing emojis.

Speaking to Huffpost.com, Kapoor dismissed allegations he was commissioned to spread a message, but said the controversy works to his advantage in terms of exposure.

More from HuffPost.com:

“It was a fraction in time and yet it has become an integral part of my identity as an immigrant in America,” he shared via email, referencing his immigration from India in 2014. He also added that ever since COVID-19 came into the zeitgeist, “people have been reaching out calling me an imposter who was ‘paid’ by the government to spread a message.”

He says he finds humor “in such claims,” a feeling he echoed on Twitter with his crying-laughing emoji in response to the TikTok of his design.

Kapoor, who will be launching his very first collection in February 2021, also told HuffPost that it’s been “very interesting to see how fate plays itself out” and truly “had no idea that the mask thing would blow up.”

“At the end of the day whatever gets people talking about you or your work is worth it,” he said.

Follow the author on Gab: https://gab.ai/adansalazar On Twitter: Follow @AdanSalazarWins On Facebook: https://www.facebook.com/adan.salazar.735 On Minds: https://www.minds.com/adan_infowars

Pennsylvania Management Company UPMC Internal reports Show 2nd Wave Has Produced Zero Deaths in entire 8,000-bed Hospital System",InfoWars,-1
Did President Trump Just Signal Dreaded COVID “Second Wave” Is A HOAX?,[],"Have an important tip? Let us know. Email us here.

Keep up to date with our latest:

Did President Trump suggest that the much-hyped “second wave” of COVID-19 is actually a hoax?

A critic of Nevada Governor Steve Sisolak (D) pointed out on Twitter a picture circulated by the media showing a healthcare worker in a parking garage taking a selfie in front of a row of folded up beds wrapped in plastic.

“Here is the fake Nevada parking garage hospital picture that our moron governor tweeted, proving it’s all a scam. No patients, folded up beds, wrapped up equipment that’s never been used! They spent millions on this scam and never seen a single patient in this fake hospital!” NetworkinVegas.com said.

Fake election results in Nevada, also! https://t.co/l8MDOSlqQ7 — Donald J. Trump (@realDonaldTrump) December 1, 2020

Trump retweeted that tweet and added: “Fake election results in Nevada, also!”

Sisolak had retweeted the photo on Monday thanking the first responders.

Thank you, @critcare_airems, for providing life-saving care to Nevadans under these incredibly difficult circumstances. I am thankful every day for the doctors, nurses and other first responders in the State who continue to work selflessly on behalf of all of us. https://t.co/TNsjlxEx0l — Governor Sisolak (@GovSisolak) November 30, 2020

The man in the selfie, Dr. Jacob Keeperman, claimed he was at the COVID-19 Intensive Care Unit at Renown Medical Center in Reno where he had witnessed 5 deaths “in the last 32 hours.”

Another doctor told local media that they put more beds in the parking garage in case they hit capacity.

“If we continue to have an uptick of COVID-19 patients, we’re going to run out of hospital beds and people to take care of sick people,” said Dr. Deborah Kuhls.

A local ABC affiliate report covering this second wave “surge” shows dozens of empty hospital beds seemingly ready for more patients.

Picture of Renown’s parking garage with dozens of empty beds (KTNV-Las Vegas)

This comes as a University of Pittsburgh Medical Center whistleblower revealed to Infowars that the Covid “second wave” surge is largely a hoax to drive the public into submitting into another lockdown.

Remember, the medical vessels Comfort and Mercy were deployed to New York City and Los Angeles in March – the height of the pandemic – to assist supposedly “overwhelmed” hospitals.

But after several weeks, Comfort left New York City after treating 182 patients, 70% of whom had COVID-19.

Mercy departed Los Angeles after treating 77 patients in less than two months.

And during the initial outbreak of the pandemic last spring, numerous videos recorded by concerned citizens showed several reportedly “overrun” hospitals were actually practically empty!

Is Trump finally breaking the COVID conditioning?

David Icke breaks down how the globalists are preparing another devastating lockdown by hyping up a so-called second wave of COVID.",InfoWars,-1
"Breaking: Attorney Lin Wood Suggests Trump Declare Martial Law, Hold New Election",[],"Trump attorney Lin Wood tweeted a declaration calling for the president to implement Martial Law and hold a new, safe and fair election if lawmakers fail to protect the Constitution.

Wood wrote, “Good morning. Our country is headed to civil war. A war created by 3rd party bad actors for their benefit – not for We The People. Communist China is leading the nefarious efforts to take away our freedom. @realDonaldTrump should declare martial law.”

Good morning.



Our country is headed to civil war. A war created by 3rd party bad actors for their benefit – not for We The People.



Communist China is leading the nefarious efforts to take away our freedom.@realDonaldTrump should declare martial law.https://t.co/h3Ym5ytMYt — Lin Wood (@LLinWood) December 1, 2020

Read the full press release by the We The People Convention below:

WTPC Calls for President to Invoke Limited Martial Law to Hold New Election and Protect our Vote, in Full Page Washington Times Ad, if Legislators, Courts and Congress Do Not Follow the Constitution.

Akron, OH: Today, Tom Zawistowski, President of the TEA Party affiliated We the People Convention (WTPC) and Executive Director of the Portage County TEA Party, published a full page ad in the Washington Times newspaper demanding that President Trump Invoke limited Martial law in order to allow the U.S. Military to oversee a new free and fair federal election if Legislators, Courts and the Congress do not follow the Constitution.

Zawistowski said, “We wanted to express our concerns to the President, to the legislators, courts and Congress that We the People will NOT cede our exclusive Constitutional right to elect our Representatives to judges, lawyers, courts, Governors, Secretary’s of State, Congress, corrupt election officials and local politicians, the corrupt media – or Leftist threats of violence! It is OUR EXCLUSIVE RIGHT to elect our President and that sacred right has been infringed by the massive, planned, illegal election fraud conducted by corrupt Democrat/Socialist Party operatives across our nation to steal our vote. We will NOT stand for it.”

The Ad compares the Extraordinary Executive actions implemented by President Abraham Lincoln in his efforts to save the Union during the Civil War and the literal civil war that is dividing our nation today. Without full confidence that our courts or Congress will indeed follow the 12th Amendment of the Constitution and defend our electoral process, the ad calls upon President Trump, like Lincoln, to exercise the Extraordinary Powers of his office and declare limited Martial Law to temporarily suspend the Constitution and civilian control of these federal elections in order to have the military implement a national re-vote that reflects the true will of the people. Federal Candidates only. Paper ballots. No Computers. Hand Counted with both Parties watching. Federal candidates only. Paper ballots. No computers. Hand-counted with both parties watching every vote. Only registered voters. Photo ID to prove residence. Conducted safely with everyone wearing masks and six feet apart, just like we did in Ohio.

Click Here to Sign the Petition to Demand a National Re-Vote!

Here is the full text of the Ad:

Exercising Extraordinary Authority in Defense of Our Vote

May be Required because Martial Law is better than Civil War!

In the months following the start of the Civil War, President Abraham Lincoln struggled to preserve the Union. Many objected to Lincoln’s extraordinary use of Presidential authority, in particular his suspension of the right of “Habeas Corpus”. On June 12, 1863 Lincoln defended his extreme measures in a letter published in the New York Times. Citing Article I of the Constitution he argued: “Ours is a case of rebellion…in fact, a clear, flagrant, and gigantic case of rebellion; and the provision of the Constitution that ‘the privilege of the writ of habeas corpus shall not be suspended, unless when, in cases of rebellion or invasion, the public safety may require it’, is the provision which specifically applies to our present case.” Lincoln used the same reasoning in justifying a series of extraordinary Presidential Orders:

Lincoln ordered hundreds of Northern newspapers that spoke against him to be shut down and their owners and editors arrested.

Lincoln ordered the arrest of Ohio Congressman Clement Vallandigham for the crime of speaking out against him.

Chief Justice of the US Roger Taney ruled that Lincoln had violated the US Constitution when he illegally suspended the Writ of Habeas Corpus. After hearing this Lincoln signed an arrest warrant to have the Chief Justice of the U.S. arrested.

Lincoln ordered the arrest of thousands in Maryland for the crime of “suspected Southern sympathies” including ordering the arrest of US Congressman Henry May from Maryland. These people were arrested and held in military prisons, without trial, some of them for years.

While some debate these measures still today, no one disagrees that Lincoln and his use of Presidential power were responsible for saving the Republic. While History, and even former President Obama, has judged Lincoln as perhaps our greatest President, few would have agreed at the time he took those actions. Then, as now, a President with courage and determination was needed to preserve the Union. Today, the current threat to our United States by the international and domestic socialist/communist left is much more serious than anything Lincoln or our nation has faced in its history – including the civil war.

We have well-funded, armed and trained marxists in ANTIFA and BLM strategically positioned in our major cities acting openly with violence to silence opposition to their anti-American agenda. Attacking federal buildings and police, cowardly punching innocent people in the back of the head, assaulting people just eating in restaurants, and burning minority-owned businesses to the ground. All with elected officials in Democrat/Socialist-controlled cities openly encouraging this planned violence against civilians and businesses. Then, to advance their cause, these socialists are acting to “Defund the Police,” creating chaos and suspending the rule of law that protects millions of average, and particularly minority, Americans. The results being massive increases in violent crime and deaths in our cities and the destruction of small businesses orchestrated by those politicians and leftist groups, many funded by domestic and international communists. We are literally under attack from within!

Then there are admitted Democrat/Socialist federal officials plotting to finish gutting the US Constitution after 100 years of trying. They promise to take away critical individual rights like free speech, religious freedom and the 2nd Amendment; destroy states rights by eliminating the electoral college and more; pack the Supreme Court with activist anti-constitutionalist judges who will make law from the bench; give the right to vote to tens of millions of non-Americans; and open our borders to more illegals which will reduce wages. No one voted for these things that were hidden from the majority of Americans by the corrupt media. Not only do we have corrupt media, like in Lincoln’s day, we have a new and more sinister form of media in Big Tech, actively censoring free speech and promoting leftist propaganda to blind our citizens to their real goals and the real consequences of their actions – the end of America as we have known it.

The Socialist Left has been openly working to destroy the United States since Obama promised and tried to “transform” America in 2008-16, and having been stopped by the will of the American people, they openly staged a four year long coup attempt to remove the duly elected President. Culminating in this corrupt and provably fraudulent current election planned to illegally and un-constitutionally deny the American people their most sacred honor, right and privilege – which is the right to elect their Representatives! How can we have a Representative Republic if we cannot hold fair elections to elect our Representatives? There is no doubt that this attempted stealing of these elections again “is a case of rebellion…in fact, a clear, flagrant, and gigantic case of rebellion” that requires exercising extraordinary authority to preserve our Union.

President Trump, you and every other official in our local, state and federal governments, and everyone in law enforcement and in our military have sworn an oath that says “I will support and defend the Constitution of the United States against all enemies, foreign and domestic.” It is time for everyone who swore that oath to act upon it. The enemies are within our gates and our Constitution and Nation are in real risk of being lost to this socialist/communist invasion unless you act decisively.

At least half of all Americans do not and will not accept this fraudulent election because of the eyewitness testimony, and the material, statistical and mathematical evidence of OVERWHELMING fraud. The other half will not accept the outcome if the courts see the evidence of fraud and rightfully overturn the election! The Left has literally been planning riots just for that occasion for months. We the People must not and WILL NOT cede our exclusive Constitutional right to elect our Representatives to judges, lawyers, courts, Governors, Secretary’s of State, Congress, corrupt election officials and local politicians, the corrupt media – or Leftist threats of violence! It is OUR EXCLUSIVE RIGHT to decide our Representatives not theirs! Therefore, We the People MUST demand a NEW and fair national vote, a vote that all Americans can trust and live by regardless of the winner! Without a fair vote, we fear, with good reason, the threat of a shooting civil war is imminent. Gun sales are at an all time high and 40% are first time gun owners looking to defend themselves, their property, and their rights. Therefore, Mr. President you must act now before there is no peaceful way left to preserve our Union.

When the legislators, courts and/or Congress fail to do their duty under the 12th Amendment, you must be ready Mr. President to immediately declare a limited form of Martial Law, and temporarily suspend the Constitution and civilian control of these federal elections, for the sole purpose of having the military oversee a national re-vote. A vote that assures a fair election in every jurisdiction and reflects the true will of the people. Federal candidates only. Paper ballots. No computers. Hand-counted with both parties watching every vote. Only registered voters. Photo ID to prove residence. Conducted safely with everyone wearing masks and six feet apart, just like we did in Ohio. Only then can the winning candidate be accepted as legitimate by a true majority of We the People who must give our consent to be justly governed! Unfortunately we are at a point where we can only trust our military to do this because our corrupt political class and courts have proven their inability to act fairly and within the law.

You must also act, like Lincoln did, to silence the destructive media’s one-sided propaganda designed and proven to influence the election outcome, and end the unlawful censorship of Big Tech, to restore the confidence of the American People in our electoral process or we cannot continue as a nation. Failure to do so could result in massive violence and destruction on a level not seen since the Civil War. Limited Martial Law is clearly a better option than Civil War!

Many will object to these actions, as they did in Lincoln’s day, but we assure you that We the People understand that no less action will suffice to prevent the loss of our Constitutional right to vote and preserve our Republic. It is time to honor your oath, Mr. President. It is time for you to boldly act to save our nation as Lincoln did. We the People will support a national re-vote. We will also have no other choice but to take matters into our own hands, and defend our rights on our own, if you do not act within your powers to defend us.

Martial Law Press Release by Tom Zawistowski is licensed under N/A N/A",InfoWars,-1
China to Enjoy Better Post-COVID Economy Than All Other Major Nations,[],"Have an important tip? Let us know. Email us here.

Keep up to date with our latest:

The OECD has revealed that China is set to enjoy a post-COVID economic recovery that outstrips every other major country, most of which will see debilitating drops in their GDP.

“A graph proposing GDP projections for various nations and areas showed that China was the only nation on the list to enjoy real GDP growth in 2020, with 1.8%, 8% in 2021 and 4.9% in 2022,” reports Sputnik.

“In comparison, the United States, having suffered a 3.7% drop in 2020, is set to achieve 3.2% and 3.5% real GDP growth in 2021 and 2022 respectively.”

“The United Kingdom, compared to most countries on the Outlook’s graph, got affected more heavily suffering a GDP reduction of 11.2% in 2020, with only Argentina showing worse results – 12.9% drop.”

While small businesses continue to go bust and see their profits dwindle, Amazon and other massive transnational corporations have joined China in coming out of the pandemic on a strong economic footing.

Amazon has seen its profits during the COVID pandemic soar by 100% while small businesses on average have lost 30% in profits and 21% have closed down permanently.

The CEO’s of these companies have also seen their personal wealth increase by tens of billions while small businesses have lost over $200 billion.

As we previously highlighted, while the United States and Europe continue to subject their citizens to crippling lockdowns, people in China where the virus originated are enjoying massive pool parties and nightclubs where there is no social distancing or mask wearing.

Some have suggested that videos which emerged out of China in the early days of the pandemic which showed people convulsing and dropping dead on the streets were part of a propaganda ploy to convince other countries that coronavirus was immeasurably worse than it turned out to be.

This overreaction continues to this day, with discussions in the UK of a third lockdown now taking place despite the fact that hospitals are not overwhelmed and the yearly average death statistics are no different from usual.

———————————————————————————————————————

ALERT!

In the age of mass Silicon Valley censorship It is crucial that we stay in touch.

I need you to sign up for my free newsletter here.

Support my sponsor – Turbo Force – a supercharged boost of clean energy without the comedown.

Also, I urgently need your financial support here.

———————————————————————————————————————",InfoWars,-1
Live Feed: Michigan State Senate Committee on Oversight Election Hearing,[],"The Michigan State Senate Committee on Oversight is holding a hearing to allow witnesses to share their experiences observing absentee ballot counting at the TCF Center in Detroit.

Scroll down on this page for updated highlights of the hearing so far.",InfoWars,-1
