Title,Author,Text,Resource,Label,,,,,,,,,,,,
Liverpool – Beatles & Merseybeat - 3 nights,[],"Day

2

Meet your Beatles-mad tour manager and head to the Mersey Ferry, which will take you across the languid Mersey. Ringo Starr used to work on the Mersey Ferry and the Beatles famously played a gig onboard a Mersey Ferry called the Royal Iris. Continue on coach to Port Sunlight. Founded in the 19th century to house factory workers, today Port Sunlight is a peaceful and picturesque village of Victorian-era houses, well-manicured gardens and cosy tea rooms. It was at Port Sunlight that the Beatles first played with Ringo Starr in the band, at Hulme Hall, which has since been converted into a wedding venue. The tour continues by coach and picks up the Beatles trail back in Liverpool. Drift back through time as you visit the Penny Lane Development Trust, with its colourful Beatles mural, and then the Strawberry Field Visitor Centre – both names etched in the consciousness of Beatles fans forever. Stop for a drink or a bite to eat (payable locally), before the tour continues past the childhood homes of John, Paul and Ringo, and their schools and colleges. You’ll pass the birthplaces of John Lennon and Brian Epstein – the Beatles’ legendary manager – before paying a visit to Liverpool Cathedral, the world’s fifth-largest and where Paul McCartney once auditioned for the local choir! Later today, enjoy an included visit to the Casbah Club, a former members-only club, widely regarded as the birthplace of the Merseybeat genre, that was run by Mona Best, mother of Beatles’ original drummer Pete Best. It was here that the young Beatles – then known as the Quarrymen – first performed, before they were signed – and refined – by Brian Epstein. Soak up the history as your tour guide regales you with early Beatles tales, and enjoy an hour of live music with an included drink in a club that was even decorated by the ‘Fab Four’ – look out for a silhouette of John Lennon on the wall painted by his first wife, Cynthia. Transfer back to your apartment at the end of a magical musical day, no doubt singing your favourite Beatles tune (either in your head or out loud!).",TheGuardian,1,,,,,,,,,,,,
Liverpool – Beatles & Merseybeat– 4 nights,[],"Day

2

Meet your Beatles-mad tour manager and head to the Mersey Ferry, which will take you across the languid Mersey. Ringo Starr used to work on the Mersey Ferry and the Beatles famously played a gig onboard a Mersey Ferry called the Royal Iris. Continue on coach to Port Sunlight. Founded in the 19th century to house factory workers, today Port Sunlight is a peaceful and picturesque village of Victorian-era houses, well-manicured gardens and cosy tea rooms. It was at Port Sunlight that the Beatles first played with Ringo Starr in the band, at Hulme Hall, which has since been converted into a wedding venue. The tour continues by coach and picks up the Beatles trail back in Liverpool. Drift back through time as you visit the Penny Lane Development Trust, with its colourful Beatles mural, and then the Strawberry Field Visitor Centre – both names etched in the consciousness of Beatles fans forever. Stop for a drink or a bite to eat (payable locally), before the tour continues past the childhood homes of John, Paul and Ringo, and their schools and colleges. You’ll pass the birthplaces of John Lennon and Brian Epstein – the Beatles’ legendary manager – before paying a visit to Liverpool Cathedral, the world’s fifth-largest and where Paul McCartney once auditioned for the local choir! Later today, enjoy an included visit to the Casbah Club, a former members-only club, widely regarded as the birthplace of the Merseybeat genre, that was run by Mona Best, mother of Beatles’ original drummer Pete Best. It was here that the young Beatles – then known as the Quarrymen – first performed, before they were signed – and refined – by Brian Epstein. Soak up the history as your tour guide regales you with early Beatles tales, and enjoy an hour of live music with an included drink in a club that was even decorated by the ‘Fab Four’ – look out for a silhouette of John Lennon on the wall painted by his first wife, Cynthia. Transfer back to your apartment at the end of a magical musical day, no doubt singing your favourite Beatles tune (either in your head or out loud!).",TheGuardian,1,,,,,,,,,,,,
Belfast & the Titanic Experience,[],"Day

2

After breakfast, you'll visit Titanic Belfast, which stands on the site where RMS Titanic was constructed over a century ago. Developed as much as a tribute to the days of shipbuilding in the city as in commemoration of the ill-fated liner that met her untimely end on her Maiden Voyage in 1912, Titanic Belfast is a dramatic, innovative and exciting presentation of the real story of the famous ship. Wander through its nine fascinating galleries, housed in one of the most eye-catching buildings to have been built in the UK for years. The ship's conception, construction, tragic sinking and its aftermath, as well as its rediscovery in 1985, are brought vividly to life with audio-visual presentations, life-size reconstructions, interactive features and even a Shipyard Ride. You'll leave the exhibition with a real sense of the enormity - and the human cost - of one of the 20th-century's most fateful events. After a fascinating morning and the opportunity to enjoy lunch (payable locally) this afternoon's guided tour of Belfast will reveal the city's turbulent past, thriving present and hopes for the future. Highlights will include major landmarks such as City Hall, Queen's and Stormont Castle - seat of the Northern Ireland Assembly and a stunning sight gradually revealed from the rising approach road. During the tour you'll also see West Belfast's celebrated Peace Wall, the political murals of the Shankhill and Falls roads, and the ultra-modern developments of the regenerated docks area, crowned by the breathtaking Titanic Quarter. The rest of the day and evening is left free. Why not soak up the local atmosphere in one of the city centre's traditional pubs?",TheGuardian,1,,,,,,,,,,,,
Belfast & the Titanic Experience – 5 days,[],"Day

2

After breakfast, you'll visit Titanic Belfast, which stands on the site where RMS Titanic was constructed over a century ago. Developed as much as a tribute to the days of shipbuilding in the city as in commemoration of the ill-fated liner that met her untimely end on her Maiden Voyage in 1912, Titanic Belfast is a dramatic, innovative and exciting presentation of the real story of the famous ship. Wander through its nine fascinating galleries, housed in one of the most eye-catching buildings to have been built in the UK for years. The ship's conception, construction, tragic sinking and its aftermath, as well as its rediscovery in 1985, are brought vividly to life with audio-visual presentations, life-size reconstructions, interactive features and even a Shipyard Ride. You'll leave the exhibition with a real sense of the enormity - and the human cost - of one of the 20th-century's most fateful events. After a fascinating morning and the opportunity to enjoy lunch (payable locally) this afternoon's guided tour of Belfast will reveal the city's turbulent past, thriving present and hopes for the future. Highlights will include major landmarks such as City Hall, Queen's and Stormont Castle - seat of the Northern Ireland Assembly and a stunning sight gradually revealed from the rising approach road. During the tour you'll also see West Belfast's celebrated Peace Wall, the political murals of the Shankhill and Falls roads, and the ultra-modern developments of the regenerated docks area, crowned by the breathtaking Titanic Quarter. The rest of the day and evening is left free. Why not soak up the local atmosphere in one of the city centre's traditional pubs?",TheGuardian,1,,,,,,,,,,,,
Scenic North Wales and Chester,[],"Day

2

After breakfast, join your tour manager and board the coach for the journey through Snowdonia National Park to the Welsh island of Anglesey. Stop at Plas Newydd, home of the Marquess of Anglesey. This grand home dates back to the 15th-century and boasts fantastic views over the Menai Strait to Snowdonia. Enjoy a stroll around the gardens and grounds as you learn more about the history of the house before the tour continues to the captivating seaside town of Beaumaris, at the eastern end of the Menai Strait. Beaumaris’ UNESCO-listed castle dates back to the 13th century, when Edward I ordered its construction as part of his campaign to conquer Wales. However, construction of the castle was abandoned in the early 14th century when resources were diverted toward the invasion of Scotland. The unfinished castle was then occupied by the Welsh, and taken back by the English, and then reoccupied by forces loyal to Charles I during the English Civil War. Today, the castle remains as it was then: an unfinished masterpiece of near complete symmetry. The tour manager will bring the castle’s fascinating history to life, regaling you with tales stretching back the best part of a thousand years. Enjoy some free time for lunch in the town (payable locally) before continuing across the Menai Suspension Bridge to Caernarfon, on the Welsh mainland. The UNESCO-listed Caernarfon castle was also built as part of Edward I’s efforts to conquer Wales. Recognised as one of the great fortified buildings of the Middle Ages, the impressive Caernarfon castle took 47 years to complete, at a cost of £25,000 and contained an entire town! Your tour manager will give a talk outside the castle, and there will be time for those who wish to enter to do so (entrance payable locally). Depart Caernarfon in the late afternoon, after a fascinating day filled with myths and legends. Later on, an included dinner at your hotel rounds off a wonderful day.",TheGuardian,1,,,,,,,,,,,,
"Edinburgh – Highland Safari, Loch Lomond & Whisky Trails - 4 Nights",[],"Day

2

Join your tour manager for the scenic drive to the village of Dull, located in the Perthshire Hills. Sit back and relax as Edinburgh’s urban area gives way to towering glens and trickling streams. Upon arrival, enjoy a quick leg stretch and safety briefing, then set off in several 4x4s for a safari like no other. The Perthshire Hills are a stunning patchwork of gentle glens, rushing rivers and wild woodlands. Benefit from a totally unique perspective of your picturesque surroundings on your Highland safari. Watch out for wildlife too: depending on the season – and your luck – you may catch a glimpse of the majestic golden eagle or the elusive red deer. Your knowledgeable guide will point out the natural habitats of these wonderful creatures, as well as other points of interest along the way. Refreshments, including hot drinks, shortbread and a wee dram, will be available. This unique experience will give you a tantalising glimpse of Scotland’s magnificent untamed wilderness, leaving you with memories that will last a lifetime. This afternoon, the tour continues to the charming town of Pitlochry. Surrounded by beautiful scenery on the banks of the River Tummel, Pitlochry is a great place to spend a few hours. Depending on the season, you may be able to see salmon in the river. Enjoy the clean, Highlands air and soak up the incredible views as you wander the town’s streets, perhaps stopping for a well-earned bite to eat (payable locally) or a spot of souvenir shopping. Return to Edinburgh at the end of a wonderful day in the scenic Perthshire Highlands, and enjoy a well-earned evening at leisure.",TheGuardian,1,,,,,,,,,,,,
Historic Railways of the Isle of Man,[],"Day

2

Your first heritage journey takes you south from Douglas's authentic Victorian station on the island's famous Steam Railway. The line was once part of an extensive network that connected most of the island, but is now a 15-and-a-half-mile narrow-gauge run, via the former island capital, Castletown, to beautiful Port Erin. Alight at the former to discover impregnable Castle Rushen, one-time home to the Kings and Lords of Mann. Here, the energetic can climb to the battlements for the spectacular view of the island’s south, and there’s a fascinating guided tour to enjoy. You’ll also visit the Old House of Keys, the restored 19th-century parliament building, with its debating chamber and interactive displays. Re-board the train to continue to seaside Port Erin, a resort boasting glorious beaches, views out to the offshore Calf of Man and a Railway Museum that's must-see for enthusiasts. You'll have some free time to explore your wonderful surroundings, before returning to Douglas by train at your leisure – your included Go Explore Heritage card offers you the freedom to travel as you wish. After a fascinating and absorbing day, enjoy a second evening in Douglas and your hotel.",TheGuardian,1,,,,,,,,,,,,
Loch Lomond & the Edinburgh Tattoo,[],"Day

2

Today we're off to Edinburgh. This beautiful, historic city is always a lively place, but during the famous Festival Season it really buzzes. Join your tour manager to get your bearings on our included guided Orientation Tour of Edinburgh when you arrive, and visit some of the city’s most famous sites. Highlights will include Princes Street and Jenners (the world’s oldest department store), the Castle, St Giles Cathedral, the Sir Walter Scott monument and the Royal Mile. The tour will end at the Palace of Holyroodhouse, the Queen’s official residence in Scotland, which you may like to visit (entrance payable locally). You'll have the rest of the day free to explore. There’s always so much to see and do in Edinburgh: you'll find famous sights, galleries and museums, splendid shopping and fascinating attractions everywhere, and your tour manager will be more than happy to point you in the right direction and help you make the most of your stay. Why not visit The Spirit of the Tattoo, an interactive exhibition that reveals the story and mythology surrounding the Tattoo? It’s an ideal way to learn a little more about the history of this famous event. In the early evening make your way to the esplanade of Edinburgh Castle for the evening performance of the Royal Edinburgh Military Tattoo. Massed pipes and drums, and dancers and display teams from all over the world, combine in a magical blend of music and colour, dance and military pageantry. It's a dazzling and unforgettable spectacle. Highlights include the sight of the Massed Pipes and Drums and Military Bands as they emerge from the huge castle gates and fill the air with stirring music, and the iconic sight of the lone piper silhouetted against the night sky as he patrols the battlements above.",TheGuardian,1,,,,,,,,,,,,
"Dubrovnik, Montenegro & the Dalmatian Coast",[],"Day

5

As a memorable day unfolds, you'll get to know stunning Dubrovnik, the incomparable Pearl of the Adriatic. Explore its captivating, medieval old town and perhaps walk the ancient city walls, upon which you'll find views stretching out over the red-roofed buildings to the sea beyond. Join our guided walking tour to see the medieval old town, its pedestrianised central street Stradun running from the Pile Gate to busy Luza Square and overlooked by the carved stone façade of the impressive Sponza Palace and graceful, Baroque St Blaise’s Church. Other highlights will include the Franciscan Monastery, and the Rector’s Palace, seat of the government in the former Dubrovnik Republic. The energetic can walk the entirety of the city walls, while others can take a seat in one of the city's many pavement cafés and relax before returning to the hotel.",TheGuardian,1,,,,,,,,,,,,
Jordan: Lost City of Arabia,[],"18 September 2020 from £1995pp

9 October 2020 from £1995pp

24 December 2020 from £1995pp

5 March 2021 from £1995pp

2 April 2021 from £1995pp

14 May 2021 from £1995pp

17 September 2021 from £1995pp

8 October 2021 from £1995pp

22 October 2021 from £1995pp

13 November 2021 from £1995pp

24 December 2021 from £1995pp



Optional single supplement £350pp

(no single supplement if you share with another traveller of the same sex)



Deposit £500pp



Land only prices, flight options available



Average group size 9 (maximum 12)",TheGuardian,1,,,,,,,,,,,,
