Title,Author,Text,Resource,Label
"Your Horoscopes — Week Of November 17, 2020",[],"Aries | March 21 to April 19

Unfortunately for your personal philosophy, it turns out the free market has yet to come up with a truly effective way to just go up to women and start talking to them.",TheOnion,-1
Fans Concerned After Oprah’s Favorite Things List Just 6-Pack Of Miller Lite,[],"CHICAGO—Revealing their sincere worries about the iconic talk show host’s wellbeing and mental health, fans expressed concerns Friday after Oprah Winfrey’s annual Favorite Things list only featured a six-pack of Miller Lite. “Yeah, I know this year has been hard on everyone, but I guess I wasn’t expecting Oprah would just include a sixer of cheap beer or rave about how great it was to crack open a brew to start off your bullshit day,” said Sarah Alexander of the short gift list slated to be published in O, The Oprah Magazine alongside a full- page spread of Winfrey in a baggy Tennessee State sweatshirt, reclining on a sofa littered with empty cans. “It was also a little disturbing to hear her say that they were the perfect gift for a friend, family member, or coworker who wanted to unwind during their commute or just blow off all of life’s fucking hassles by pulling over into a parking lot and getting tanked. I thought there’d be a lotion or a candle recommendation, but nope. Just her saying that the can also makes a handy ashtray. Jeez, y’know? Is everything okay?” Alexander also expressed consternation that the media mogul encouraged to pass on the giving spirit “with love and delight” by drunkenly taking a leak on their neighbor’s lawn.



Advertisement",TheOnion,-1
Michelle Obama Fuming After Barack Also Titles New Memoir ‘Becoming’,[],"WASHINGTON—Calling the discovery “unbelievable,” Michelle Obama was reportedly fuming Friday after learning Barack Obama had also titled his new memoir Becoming. “I know I don’t own a trademark on the word ‘becoming,’ but what the fuck, Barack?” said the former first lady, who was bewildered after coming across an advanced reading copy of her husband’s latest book hidden under a pile of clutter on his desk. “Was he going to tell me or was he just going to wait for me to see it at the store? He even has his chin on his hand, Jesus Christ. It’s not like he can claim ignorance on this one either because he read mine and assured me that he liked it. This is why he kept giving me all those suggestions like ‘you should call it Me, Myself, Michelle.’ That goddamn son of a bitch.” At press time, Michelle Obama was calling her husband’s cell phone after noticing a glowing blurb on the book jacket attributed to her that she had never written.



Advertisement",TheOnion,-1
"Your Horoscopes — Week Of November 10, 2020",[],"Gemini | May 21 to June 20

If there is more to life than fishing, you don’t want to know what it is. This will help explain your death from malnutrition and dehydration next week.",TheOnion,-1
Alex Trebek Politely Listens To Lame Anecdote About Time Archangel Saw Bear,[],"THE HEAVENS—Dutifully feigning interest as the celestial being recalled the incident, the ascended soul of late Jeopardy! host Alex Trebek politely listened to an archangel’s lame anecdote about the time he saw a bear, sources from on high confirmed Monday. “My friend and I went to Yosemite once, and this big black bear just appeared out of nowhere,” said the Archangel Michael, Prince of the Heavenly Host, who continued to recount the forgettable story as the beloved TV personality reportedly gave a cordial nod and tried to wrap things up. “We didn’t have any bear spray or anything, but it was fine, since it was pretty far away and, for the most part, they’re shy and timid creatures. Apparently with black bears you’re supposed to make yourself appear larger, but with grizzlies you’re supposed to play dead. They don’t have grizzlies at Yosemite, though. Just black bears, and I’m not sure if this one even noticed us.” Before the archangel could finish the story, Trebek is said to have cut him off and begun speaking to the Archangel Raphael, who had a story about a time he served James Gandolfini in a coffee shop.



Advertisement",TheOnion,-1
Aaron Sorkin Defends Taking Liberties With Scene In Which All Members Of Chicago 7 Endorse Joe Biden,[],"LOS ANGELES—Addressing criticism about the film during a press junket in support of its streaming release, director Aaron Sorkin told reporters Monday that he stood by taking liberties with a scene in The Trial Of The Chicago 7 in which every member of the group announces their unequivocal endorsement of Joe Biden. “Look, we may have taken some creative license here and there, but the spirit of the Chicago 7 has absolutely been preserved by having these protesters offer their full-throated support to Joe Biden’s presidential bid,” said the director, who repeatedly stood by the moment when all of the defendants in the trial for their incitement to riot look directly into the camera and emotionally declare “Joe Biden is the right man for the job!” over the judge’s strenuous objections. “Now, obviously, is the movie mostly about the 1968 Vietnam protests? Of course. But would we have served [Yippy founder] Abbie Hoffman’s memory better by removing the heartbreaking moment where he breaks down in tears under cross-examination, stands up his seat, and shouts ‘Your honor, I’m not sure we see eye to eye on everything, but I fervently agree with Joe Biden that we must restore the soul of this country’? I don’t think so. Just think about it. These men were progressives; many people who support Joe Biden now are progressives. So, if you really examine things, this is exactly what would’ve happened.”At press time, Sorkin had abruptly backpedaled after a follow-up question on an episode in The West Wing’s third season in which the characters played by Martin Sheen, John Spencer, and Bradley Whitford discover Saddam Hussein has weapons of mass destruction during a routine diplomatic visit to Iraq.



Advertisement",TheOnion,-1
David Blaine Wakes Up In Cold Sweat From Nightmare In Which He Dies Of Natural Causes,[],"NEW YORK—Mumbling the words “old age” and “in his sleep” as he thrashed and screamed wildly, illusionist David Blaine reportedly woke up in a cold sweat from a nightmare Friday in which he died of natural causes. “Oh my G od, that was terrible; it really felt like I was on my deathbed, passing away painlessly and peacefully while surrounded by friends and family,” said Blaine, wiping perspiration from his brow and reminding himself that he was far more likely to die suffocating handcuffed in a tank of ice-cold water, or falling 30,000 feet from a balloon floating through the troposphere, than from something as insane as heart disease. “I just can’t unsee it. There was no stage. No crowd. No cage. No knives being repeatedly shoved through my stomach, or a school of sharks ripping me limb from limb. It was just me, the doctor, my wife, my children, and my grandchildren. And we were praying. Jesus Christ, I’m really losing it.” At press time, Blaine was reportedly finally able to go back to sleep after taking a few deep breaths, drinking a glass of water, and strapping himself nude to a lightning rod on the roof of his apartment.



Advertisement",TheOnion,-1
Bob Dylan Not Exactly Rising To Occasion As Far As Current Protest Music Goes,[],"NEW YORK—In a nation mired in a deadly pandemic, mass civilian street actions, widespread environmental degradation, and collapsing institutions under the fourth year of Donald Trump’s presidency, it had become clear to sources Friday that Bob Dylan was not exactly rising to the occasion as far as his current protest music goes. “Seriously, we’re in this terrible moment full of awful crises and wanton violence, which really should be easy fodder for even a half-decent protest singer, and here Bob Dylan can’t even get his shit together for a three-minute tune,” sources said, adding that apparently the so-called Voice of a Generation couldn’t cobble together at least one extended metaphor that fiercely and poetically captured the current situation for a 2020 audience. “We gave you a Nobel Prize for Literature, and for what? So you can release some esoteric 17-minute song about the Kennedy assassination in goddamn March and call it a day? We’re still droning people in half a dozen countries, for Christ’s sake. Look, you have a lot of options here—some sparsely instrumented yet grand statement that perfectly summarizes the current maelstrom of blame and chaos like ‘Blowin’ In The Wind’ or ‘The Times They Are A-Changin’’ would be ideal, obviously, but if you would rather hone in on some specific episode of social injustice that serves as a microcosm of a commentary on systemic issues, like ‘Hurricane’ or ‘The Lonesome Death Of Hattie Carroll,’ that works too. Your lyrics don’t even rhyme. All you have to do is sit down with a guitar and just poignantly and pointedly attack the actions of the Trump administration, or really any other aspect of our present moment. It’s not like we’re lacking for subject matter. Jesus, Bob, get your shit together.” Sources added that they would give Dylan the rest of the month to release something as galvanizing and timelessly true as “Masters Of War.”



Advertisement",TheOnion,-1
Psychic Already Sick Of Spectral James Randi Ragging On Her From Afterlife,[],"MIAMI—Struggling to mentally close herself off from the recently deceased skeptic, local psychic Rosemary Shanley confirmed Thursday she was already sick of James Randi’s specter haunting her place of business and ragging on her from the afterlife. “I’m sitting here with my crystal ball trying to see into the future, and it’s hard enough without the ghost of James Randi hovering in front of me and whispering that I’m a fraud and a huckster,” said Shanley, adding that she tried to banish the spirit of the famed debunker and stage magician by sprinkling holy water throughout the room, but the Amazing Randi just scoffed and called the ritual “easily disproved theatrics.” “What’s worse is that he’s taken to appearing before my clients and showing them how he can do everything I can do using nothing more than simple trickery. I was impressed when he first showed up and appeared to roll a pencil across my desk using only his mind, but then he insisted it was basic misdirection and called me a dumbass for believing in psychic powers. That dude needs to get off my case and go heckle some other clairvoyant.” At press time, sources from the beyond confirmed Randi had taken possession of Shanley’s body and was attempting to locate Uri Geller.



Advertisement",TheOnion,-1
Jason Momoa Brings In Scene Double For Challenging Facial Expression,[],"VANCOUVER, CANADA—Referring to his on-screen doppelgänger as a “total badass,” Jason Momoa, star of the forthcoming Aquaman 2, told reporters Monday he and the film’s producers had brought in a scene double to help execute a particularly challenging facial expression required of his character. “I actually do a lot of my own acting, but when the script calls for something really tricky, it’s always best to call in a professional,” said Momoa, whose agent confirmed the Teen Choice Award-nominated actor had long relied on seasoned Hollywood scene double Phil Westwood to handle more complex emotions such as apprehension, remorse, or despair. “While I can manage a bit of glowering, or even fly into a rage, sometimes you have to think about what’s best for the production and say, ‘Okay, these faces are really hard to make. We need someone who’s trained for this sort of thing.’ I first worked with Phil back on Game Of Thrones, when my character was supposed to be angry and in love at the same time, and it was way too hard to do both. You should see some of the feelings this guy can express—it’s wild.” At press time, sources said production for Aquaman 2 had been delayed so Westwood could wrap up some acting work as John Cena’s scene double in Fast And Furious 9.



Advertisement",TheOnion,-1
"Your Horoscopes — Week Of October 20, 2020",[],"Virgo | Aug. 23 to Sept. 22

You’ll narrowly avoid an unlikely set of circumstances that almost sees you married to a horse, but you’ll still be joined in matrimony to the two guys who were in the horse suit.",TheOnion,-1
"Your Horoscopes — Week Of October 13, 2020",[],"Pisces | Feb. 19 to March 20

If you somehow magically had the chance to do it all over again, you’d do everything in your power to make her happy. You don’t, though, because that’s not the way it works.",TheOnion,-1
Hundreds Of Cane-Wielding Demonstrators Pull Governor Into Kickline To Protest Broadway Shutdown,[],"ALBANY, NY—Expressing outrage that the theater district would remain closed at least through next May, cane-wielding, top-hatted demonstrators pulled New York governor Andrew Cuomo into a kickline Friday to protest the Broadway shutdown. “Step-ball-change, step-ball-change,” chanted the scores of protestors dressed in sequined tuxedos and tails, beginning in a stage whisper before growing louder and louder as they jazz squared around the governor and pulled him into a full-on dance number. “What do we want? Broadway open! When do we want it? In a-one-and-a-two-and-a-three!” At press time, Cuomo had briefly escaped the crowd before protestors lifted him above their heads and spun him in the air for the grand finale.



Advertisement",TheOnion,-1
"Your Horoscopes — Week Of October 6, 2020",[],"Aquarius | Jan. 20 to Feb. 18

Your willingness to die for what you believe in may seem naïve, but someone has to stand up to people who think Ray Combs was the best host of Family Feud.",TheOnion,-1
Guy In 1940s Song Always Losing His Baby,[],Mom Completely Understands That Coming To Thanksgiving Is Risky And That You Don’t Love Her Anymore,TheOnion,-1
"Your Horoscopes — Week Of September 29, 2020",[],"Aries | March 21 to April 19

Despite the writing being on the wall, the bridge, the subway platform, and the abandoned warehouse, you’ll still be surprised to hear about the recent rise of vandalism in your city.",TheOnion,-1
The Onion’s Guide To Streaming Services,[],"Streaming services have proliferated in recent years as content-watching habits change, and it can be hard to choose from all the options. To help, The Onion has compiled a guide to the various content streaming services.



Advertisement

Hulu: The best place to access shows that aren’t on Netflix.



Sling: Same shows as cable but over spotty internet you buy from your cable provider.



Advertisement

Shudder: Horror-themed streaming service that allows users to experience the nightmare of scrolling for hours and hours without ever finding a recognizable title.



Advertisement

Netflix: Hosts a vast library of email accounts people fabricated to score free 30-day trials.



Advertisement

Amazon Prime: Has Guarding Tess right now.



Quibi: Your own streaming service, for the low price of about $300 million.



YouTube Premium: Offers a wide array of exclusive, ad-free right-wing radicalization videos.



Advertisement

Peacock: If you love birdwatching, prepare to be very, very disappointed by the content Peacock has to offer.



Advertisement

Mubi: A collection of arthouse and independent films to play on mute at warehouse parties.



Advertisement

Disney+: Eventually there will just be this one.

",TheOnion,-1
"Your Horoscopes — Week Of September 22, 2020",[],"Aquarius | Jan. 20 to Feb. 18

Nobody said that it was going to be easy, or fun, or even practical. But then nobody really said much about your desire to take up differential calculus.",TheOnion,-1
Conservative Conspiracy Theorist Outraged After Stumbling Upon Entire Netflix Section Dedicated To Kids,[],"HOUMA, LA—Expressing disbelief about what he was seeing, local conservative conspiracy theorist Ted Biddle was reportedly outraged Friday after stumbling upon an entire section on Netflix dedicated to kids. “Jesus Christ, this is more fucked up than we ever realized—it says ‘Kids’ right there!” said Biddle, who leapt to his feet and gripped his head in horror as he surveyed the hundreds of TV shows and movies hidden in plain sight on the streaming service’s interface. “Netflix is just a honeypot for pedophiles. They even have it sorted by age group. Disgusting! There’s probably thousands of hours of it in here. The Last Kids On Earth, Loo Loo Kids, ugh, what the hell is Booba? Who are Alexa & Katie? This repulsive one has two elementary school kids hanging out with an adult dressed in nothing but a cape and underpants. Oh no, they even have stuff with animals. This is just awful. I guess that’s sicko Hollywood for you!” At press time, Biddle had drawn the blinds and eagerly lowered himself back onto the sofa so he could check it out.



Advertisement",TheOnion,-1
Exasperated Plumber Explains To Kanye West Why Flushing Awards Bad For Toilet,[],"CALABASAS, CA—Reaching into the multi-platinum artist’s overflowing pipes and pulling out several feces-and-toilet-paper-covered trophies, exasperated local plumber Larry DeGroot explained to Kanye West Thursday why flushing large metal awards was bad for his toilet. “Well, I think I found the problem, and that clanking metal noise you’re hearing probably has something to do with all the Grammys, BET Awards, and Moonman you have clogging up the works,” said DeGroot, who after using a snake to extract the dozens of honorary doctorates, certificates, and framed albums from the system, shook his head in disbelief when he found a full 6-feet long Teen Choice Award surfboard banging around in the septic tank. “Look pal, I’m not trying to shame you, but mashing these metal trophies around with a toilet brush or pouring down a ton of Drano is just going to cost you another 1,000 bucks. Trust me, I dealt with the same thing at John William’s house. The worst thing you can do is ignore the problem and keep relieving yourself on top of it until it builds up too much pressure and explodes.” At press time, DeGroot added that it didn’t seem to be all Kanye’s fault, as there also seemed to be several red-carpet gowns, large diamonds, and designer leather pumps flushed down the toilet.



Advertisement",TheOnion,-1
Dr. Scott Atlas: ‘I Am Resigning To Focus On Important Doctor Work In The Doctor Industry’,[],"Deal Alert: This Kid Has All The Coolest Games, And You Can Play Them At His House If You Can Get Over How Weird He Is",TheOnion,-1
Police Warn Onlookers Not To Enter Active Crime Scene Cover-Up,[],"NEW YORK—Urging passersby to avoid the area until the job could be completed, members of the NYPD warned onlookers Tuesday not to enter an active crime scene cover-up. “We can’t have civilians in here mucking up all our hard work by serving as potential witnesses,” said patrolman Allen Banker, directing pedestrians to move across the street where they wouldn’t accidentally tamper with the narrative carefully constructed by the police department. “Let’s move it on, folks—nothing to see here except a routine, run-of-the-mill infringement of justice. I assure you we’re all professionals, so just let us get back to work.” At press time, Banker reported that a crazed, violent onlooker had to be gunned down by the police after seeing too much.



Advertisement",TheOnion,-1
Inside The Sacred Temple Where People Magazine’s Ancestral Editors Choose Their Sexiest Man Alive Each Year,[],"From George Clooney to Michael B. Jordan, People magazine publishes this attention-grabbing feature every winter. But how do they do it? We’ll take a look inside the holy site where the coveted hunk is chosen each year.

Patreon Patreon is empowering a new generation of creators. Support and engage with artists and creators… Read more

Advertisement

You can find The Topical on Apple Podcasts, Spotify, Google Podcasts, and Stitcher.",TheOnion,-1
Nervous Woman Still Hasn’t Gotten Up Courage To Check Election Results,[],Report: You Have Been Selected To Make A Purchase At The Onion Store,TheOnion,-1
Ken Jennings To Guest Host ‘Jeopardy!’,[],"Ken Jennings, who holds the record for the longest winning streak in Jeopardy! history, will serve as the first of several interim hosts until the show can find a permanent replacement for the late Alex Trebek. What do you think?

“He’ll never outshi ne Trebek when it comes to feigning polite interest in stupid bullshit.” Alisha Faust • Tape Roller

Advertisement

“That nerd’s gonna have to have to get a real job at some point.” Josh Hedlund • Emergency Librarian",TheOnion,-1
NBA Figures They Garnered Enough Praise To Let All The Players Get Covid Now,[],"NEW YORK—Rationalizing that the league was effectively above criticism at this point, a spokesperson for the National Basketball Association confirmed Tuesday that they had probably garnered enough praise from last summer’s “NBA Bubble” to let all the players contract coronavirus during the upcoming season. “We’re riding high on five months of adulation for the way we handled the bubble, so whatever happens next won’t really matter,” said NBA commissioner Adam Silver, who reasoned that the sheer number of fluff pieces written about the league’s coronavirus-free post-season should give them free reign to host super-spreader events across the country. “Our legacy is pretty much secured at this point. We already did our part to contain the spread—a few hundred Covid cases this year won’t take that away. It’s probably a good idea to make sure that LeBron or Giannis don’t catch it, but who gives a shit about the other guys? We don’t really expect any push back, since we got a free pass for trapping our players in Disney World to recoup lost revenue.” At press time, Silver figured that if the NBA didn’t cancel games after Kobe Bryant’s death, then they won’t have to if a player succumbs to coronavirus.



Advertisement",TheOnion,-1
Defensive Ron Howard: ‘You Try Making A Good Movie About Fucking Hillbillies’,[],"LOS ANGELES—In response to widespread negative reviews of his recently released film, Hillbilly Elegy, defensive director Ron Howard told his critics Monday, “You try making a good movie about fucking hillbillies.” “I’d invite anyone who didn’t like my film to try creating something with actual emotional depth about a bunch of backwards, dumbass hill people—can’t be done,” said Howard, adding that it was impossible to write, direct, edit, or even act in a movie about “some hopeless, completely unlikable Appalachian inbreds who just keep fucking up their own lives over and over again.” “Oh, you thought my movie was trite, huh? Well, what did you people expect? Their real-life struggle is the same ridiculous thing over and over again. All those holler dimwits are so drunk off their asses and strung out on heroin it’s impossible to make a coherent story about them. Ask [actors] Amy [Adams] and Glenn [Close], they’ll tell you how difficult it is to act like people who are already parodies of themselves. ‘But Ron,’ you’ll say, ‘what about J.D. Vance’s book? What about his input?’ Vance hates them just as much as I do. He told me the second he got out of there and realized he could cash a check on their fat, Walmart-fed asses, he was on cloud nine.” Howard also brushed off a few positive reviews of the film as representing a universal generational struggle, saying that wasn’t the point of the movie and that no one involved in the making of Hillbilly Elegy was “even from the same species as these toothless yokels.”



Advertisement",TheOnion,-1
Man Wondering If Scene From ‘The Crown’ Where Queen Elizabeth Drinks Tea Actually Happened,[],"DULUTH, MN—Unsure about the historical accuracy of the popular Netflix show, local man Ryan Galanis was reportedly wondering Monday if a scene from The Crown in which Queen Elizabeth II drinks tea is based on an event that actually took place. “I realize they need to take some liberties with the facts for the sake of narrative flow, but having the queen sit in her drawing room and drink a cup of tea like that felt way too contrived,” said Galanis, doubtful that the writers of the series had a primary source document that could prove the monarch actually sipped from a china cup with a matching saucer, as she does in an episode he recently viewed. “Honestly, it kind of takes me out of it when they depict her just sipping some E arl Grey in the middle of a scene like that. I know I’m being kind of nitpicky, but it’s easier to watch these historical dramas when the plot details are a little more convincing.” At press time, sources confirmed Galanis had decided not to finish The Crown and to instead watch the Netflix show about the queen playing chess.

Advertisement",TheOnion,-1
