,Unnamed: 0,Title,Author,Text,Resource,Label,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
1090,1090,Brief Viewing Of BET Ushers Caucasian Into Alternate World Of African American Advertisements,[],"VALLEY FORGE, PA—Wondering aloud whether some of the products appearing on his television were even real, local Caucasian man Landon McGill was reportedly ushered into an alternate world Wednesday when a brief viewing of BET exposed him to advertisements intended for African Americans. “Whoa, what’s happening—it’s like I’ve been transported to a universe where there are special online dating sites just for black people,” said McGill, who expressed surprise upon watching what he thought was a McDonald’s commercial just like any other he had seen, until he realized the family enjoying the fast food items was black instead of white. “These look like regular ads, but then they’ll be for shampoo brands and beauty products I’ve never heard of. Seriously, what’s going on here? It’s been 15 minutes and they haven’t shown a single Volkswagen commercial. I’ve never seen any of these shows before, either. I gotta tell my buddies about this.” At press time, sources confirmed a stunned McGill had begun to question his sanity after he changed the channel and discovered a baffling program in which everyone was speaking Spanish.

Advertisement",TheOnion,-1,,,,,,,,,,,,
497,497,Katharine Viner: 'The Guardian's reader funding model is working. It's inspiring',[],"Three and a half years ago, when I took over as editor-in-chief, we were faced with the urgent challenge of how to make the Guardian sustainable.

The situation looked bleak across the media. Print advertising was in steep decline, and digital advertising growth was going almost entirely to Google and Facebook. News organisations everywhere were searching for answers to the challenge that they were being read more than ever before, but with fewer ways to cover costs. Month by month, more and more news outlets went behind a paywall.

We realised we had to find a new way to fund Guardian journalism. The obvious answer was to go to you, our readers – at that time we had 150 million, and you have always had a special relationship with the Guardian, valuing our editorial independence, our commitment to investigative reporting, and our progressive viewpoint rooted in the facts.

We knew we wanted all of our journalism to remain global, free and accessible for our readers – and not restrict it only to those who could afford to pay for it. We wanted to give people the opportunity to contribute financially, in ways that worked for them, meaning that we could provide our readers – regardless of where they live, how much they earn or how they like to get their news – a way to support us that also tied in deeply with the liberal and progressive ethos on which the Guardian was founded.

When we asked for your support, we weren’t sure whether it would work. Both friends and competitors were deeply sceptical for a long time, but you, our readers listened and responded. It was inspiring how many of you from more than 180 countries wanted to play a role in supporting the Guardian financially.

This support has meant so much, and helps protect our editorial independence, allowing our journalists the freedom to report and investigate important stories of our time.

Your support enables us to hold technology companies to account by exposing the Cambridge Analytica data scandal. Without you, it would be much harder to do this.

It is your support that means we can focus on the unfolding climate crisis impacting communities and the living planet, and commit to reporting on the environment: from the threat to public lands in the US to the drought in Australia.

Guardian readers’ support also means we can fight for justice for the Windrush generation in the UK, and hold the home secretary to account for the hostile environment policy.

To be able to announce today that we have received financial support from more than 1 million readers around the world in the last three years is such a significant step. This model of being funded by our readers through voluntary contributions, subscriptions to the Guardian, the Observer and Guardian Weekly, membership or as part of our patrons programme is working.

This means that within just three years, the Guardian is on a path to being sustainable. We hope to break even by April 2019. It has not been easy and we still have a long way to go – we need you to continue to support us financially, and we need more of our readers to take that step if they can. We continue to face financial challenges, but we are determined to find new ways to make meaningful journalism thrive – and with your help it will.

We are living in dangerous times when dark ideologies flourish, and it’s no surprise that people feel anxious and confused. I know it can sometimes be tempting to turn away from news coverage. But I’m sure you feel, as I do, that we have to understand the world if we’re going to have a chance of making it better for everyone.

That is what Guardian journalism is trying to do: to give you the facts so that, through clarity, we can make sense of what is happening; and to inspire you, through ideas and imagination, to find an alternative. Thank you to those who have supported us financially so far. We hope that today many more of you will consider offering us one-off or ongoing support, with a contribution or a subscription. Together, through clarity and imagination, we can make space for hope.",TheGuardian,1,,,,,,,,,,,,
331,331,"Vaccine Minister Says Bars, Restaurants & Cinemas Will Demand Proof of Vaccination Before Entry",[],"Have an important tip? Let us know. Email us here.

Keep up to date with our latest:

UK vaccine minister Nadhim Zahawi says he expects bars, cinemas, restaurants and sports stadiums to all demand proof of vaccination against COVID-19 before allowing customers to enter their venues.

Speaking with BBC Radio’s The World at One earlier today, Zahawi responded to the host’s question about immunity passports that are registered within a phone app to be allowed to enter a sports stadium or to travel.

“I think you’ll find that restaurants and bars and cinemas and other venues, football stadiums, will probably also use that system,” said Zahawi.

Zahawi went on to explain that the NHS’ ‘track and trace’ app, the use of which was implemented as a requirement to enter bars and restaurants, had set the pretext for the vaccine eventually being made mandatory to enter such venues.

In Day 2 as Vaccine Minister, @nadhimzahawi endorses the NHS App morphing into an immunity passport. Asked if “it will become virtually impossible to do anything without a vaccine”, he said “People will have to make a decision”. This misguided, chilling and wrong. pic.twitter.com/ZvYiFKiGfp — Big Brother Watch (@BigBrotherWatch) November 30, 2020

“In many ways, the pressure will come from both ways, from service providers who will say demonstrate to us that you’ve been vaccinated, but also we will make the technology as easy and as accessible as possible,” he added.

The host responded by clarifying that “it would become virtually impossible to do anything if you don’t have the vaccine.”

The comment once again highlights how governments don’t need to make the vaccine compulsory by law, they will simply lean on the travel, leisure and entertainment industry to make life virtually impossible for those who refuse to take it.

By setting the benchmark that virtually any social activity will require people to take the shot, those who refuse will essentially be confined to a form of lockdown for potentially the rest of their lives.

As we previously highlighted, the airline industry is also signaling that it will mandate the vaccine in order for passengers to travel, with Qantas CEO Alan Joyce already insisting that this will be the case.

———————————————————————————————————————

ALERT!

In the age of mass Silicon Valley censorship It is crucial that we stay in touch.

I need you to sign up for my free newsletter here.

Support my sponsor – Turbo Force – a supercharged boost of clean energy without the comedown.

Also, I urgently need your financial support here.

———————————————————————————————————————",InfoWars,-1,,,,,,,,,,,,
634,634,Oligarch's son flees to Russia as mother sues over 'hidden' divorce millions,[],"The son of a billionaire Russian oligarch who is being sued by his mother over claims he helped hide hundreds of millions of pounds due to her in the UK’s biggest ever divorce settlement has fled to Russia.

Temur Akhmedov is being pursued by his mother, Tatiana Akhmedova, in the high court over allegations he acted as his father Farkhad’s “lieutenant” in a scheme to hide up to £453m awarded to her in a 2016 divorce.

The 27-year-old, who owns a £30m apartment in the exclusive London development One Hyde Park, had promised the high court he would fly to London from another luxury home in Dubai to attend the hearing. However, when the case got under way on Wednesday it was revealed that he had flown to Russia over the weekend.

Temur Akhmedov told the court he had fled to Russia because he was “stressed and scared” about the prospect of returning to London, and had instead sought refuge at his sister’s home in Russia.

“I got stressed, [and] I got scared. People are using surveillance teams … harassing me. I’m drinking a lot,” he said via video link.

The eldest son of Vladimir Putin ally Farkhad Akhmedov, Temur said he did not have access to enough money to pay for a place to stay in London, despite allegedly having a personal fortune worth tens of millions of pounds. He said he was unable to live at his One Hyde Park apartment because he had used it as collateral for a loan to pay his legal fees.

He said: “I’m not saying I was on the streets … [But] I’m not going to call my mum [and ask] can I live with you [when she is suing me].” He added that he was “not hiding” in Russia.

He told Mrs Justice Knowles he would return to London soon to give evidence in the trial.

He said he had not been able to agree terms on a loan to pay for his legal team, which is being run by the media lawyer Mark Lewis, so he intended to represent himself in the trial and would be expected to cross-examine his mother.

Alan Gourgey QC, who is representing Tatiana Akhmedova, suggested to the court Akhmedov probably still had access to significant funds, and that he was the registered owner of a Rolls-Royce with a personalised number plate and a Tesla car.

Gourgey said there was evidence to suggest that Akhmedov was continuing to live a very lavish lifestyle, adding that invoices and WhatsApp messages suggested outgoings “way in excess” of the £3,000 a week spending limit imposed by the court.

Akhmedov had said earlier that £3,000 a week was not enough to maintain the lifestyle to which he, his daughter and his daughter’s mother had become accustomed. “Now maybe for the average person that seems like a fucking crazy amount but in reality it’s different,” he said last week.

Akhmedova alleges that her Azerbaijani-born Russian husband transferred cash and assets to their son in order to avoid paying her £453m awarded by a London divorce court in 2016. Both men deny the claims and say Akhmedova was aware of the father-to-son gifts, which included the £30m apartment, at the time.

In her quest to uncover the award, she has won court orders to raid the apartment to search for evidence, and to force Google to hand over the contents of her son’s emails.

Akhmedova’s legal team, which is being funded by the litigation financier Burford Capital, had at one stage attempted to seize her former husband’s £300m superyacht, which had been built for Chelsea football club’s owner, Roman Abramovich, and has 10 VIP cabins and a 20-metre swimming pool.

A huge art collection, including pieces by Mark Rothko, Andy Warhol and Damien Hirst, are also contested, as well as a helicopter and private jet.

The case is expected to continue on Monday.",TheGuardian,1,,,,,,,,,,,,
415,415,Being cautious is the best thing you can do this Christmas,[],"Few times of the year are as challenging or stressful for families and relationships as Christmas. This year we face the additional pressures of the pandemic and the government’s ambiguous Covid-19 Christmas guidance, which seems to encourage families and friends to meet in their homes and travel over a five-day period, while at the same time pushing the responsibility for those decisions on to individuals themselves. It’s both confusing to know what to do and clear that although the government has permitted us to do certain things, this doesn’t necessarily mean we ought to.

As a public health expert, I’ve repeatedly been asked what families should do over the holidays. I’m torn between giving people the emotionally reassuring and comforting answer they want to hear or sticking bluntly to the best scientific evidence we have about transmission and suppression. While independent scientists are one of the few groups who can be unpopular and forthright, politicians are stuck in an unenviable dilemma: tell people what they need to hear based on the facts, or tell them what they want to hear based on emotion.

The truth is the virus that causes Covid-19 does not care that it is Christmas or New Year’s Eve. It rapidly spreads indoors and in poorly ventilated settings, particularly in households, when people gather together informally in comfortable and close conditions. Disinfecting surfaces and sitting 2 metres apart just isn’t going to stop transmission. It’s best to imagine the virus like cigarette smoke: if one person in the room is smoking, you’re likely to smell the smoke. It’s the same with this coronavirus: if one person is infected, you could also become infected from the aerosols emitted when they breathe and talk.

There are ways to exercise caution. If you want to safely see your family, you can check the local prevalence of Covid cases in the area – the number of cases per 100,000 people. If there are fewer cases and positive tests results, the risk of catching or passing on Covid-19 is lower. But of course there is always an element of risk. Socialising outdoors, going on walks and spending time in nature with friends and family are ways to see people in a less risky environment. So is connecting with family and friends virtually, on the phone or on Zoom.

If you are keen to spend time closely with family members indoors, especially vulnerable or elderly individuals, the only truly safe way to do so is to isolate for two weeks before seeing them, to ensure you’re not carrying the virus or incubating it. Private providers are now offering rapid Covid tests, but they’re not 100% safe because the virus has an incubation period of up to 14 days. You could test negative today, for example, and be infectious and test positive tomorrow. Two negative test results taken five to eight days apart is one way to help mitigate this risk, albeit an expensive one.

As the UK heads into a tiered system of restrictions, the government’s decision to relax travel measures over the festive period is particularly concerning. Movement from higher- to lower-prevalence areas means all tiers are more likely to be upgraded after Christmas, with the possibility of the entire country being in tier 3 by early 2021. The virus moves when people move; as data from the past 10 months has shown, restricting travel is an important way to protect areas from Covid.

With each passing day, we get nearer to effective and safe vaccines, treatments for Covid-19 patients, and effective mass testing. Indeed, next week, the first 800,000 doses of the Pfizer/BioNTech vaccine are due to be rolled out in the UK. Many people may decide that, with mass vaccinations on the horizon, the risk of being infected or infecting others over Christmas isn’t worth it. As someone in one of the lower risk groups, I’m less concerned about getting Covid-19 myself than I am worried about unintentionally infecting someone else, contributing to a chain of infections that could result in someone being hospitalised.

While we all clapped for months for the NHS staff, we should keep them in the forefront of our minds this winter. NHS doctors, nurses, support staff and cleaners have to show up each day to work in hospitals and GP practices and deal with whatever is thrown at them. Relying exclusively on the health service to fight this pandemic is like leaving a goalie alone on a football pitch. We all need to play our part in keeping the burden off health services. This might mean postponing group gatherings until the spring or summer next year, and doing our best now to avoid getting the virus and passing it on to others.",TheGuardian,1,,,,,,,,,,,,
860,860,No horses or peacocks: US limits service animals on planes to dogs,[],"No horses or peacocks: US limits service animals on planes to dogs

The government has decided that when it comes to air travel, only dogs can be service animals, and non-human companions used for emotional support don’t count.

The transportation department issued a final rule Wednesday that aims to settle years of tension between airlines and passengers who bring their pets on board for free by saying they need them for emotional support.

Not gonna fly: 'emotional support peacock' turned away by airline Read more

For years, the department required airlines to allow animals with passengers who had a doctor’s note saying they needed the animal for emotional support.

Airlines believed passengers abused the rule to bring a menagerie of animals on board including cats, turtles and pigs.

Still, airlines have turned away some animals in the past.

In one case in 2018, a passenger attempted to take her emotional support peacock on a cross-country flight, but the peacock was turned away. Later that year a woman was removed from a plane in Florida after she boarded with her emotional support squirrel.

Perhaps the most distressing case was that of a college student who flushed her emotional support dwarf hamster, Pebbles, down an airport toilet after being told she could not travel.

The transportation department said Wednesday that it was rewriting the rules partly because passengers carrying unusual animals on board “eroded the public trust in legitimate service animals”.

It also cited the increasing frequency of people “fraudulently representing their pets as service animals”, and a rise in misbehavior by emotional-support animals.

The rule will likely prevent Flirty, a miniature service horse, from flying in the passenger cabin in the future. The horse made waves in 2019 after its owner took it on board a flight leaving Chicago.

The new rule will force passengers with emotional-support animals to check them into the cargo hold, and pay a pet fee or leave them at home. The agency estimated airlines will gain up to $59.6m a year in pet fees.

Under the final rule, which takes effect in 30 days, a service animal is a dog trained to help a person with a physical or psychiatric disability.

Advocates for veterans and others had pushed for inclusion of psychiatric service dogs.

Airlines will be able to require owners to vouch for the dog’s health, behavior and training. Airlines can require people with a service dog to turn in paperwork up to 48 hours before a flight, but they can’t bar those travelers from checking in online like other passengers.

Airlines can require that service dogs to be leashed at all times, and they can bar dogs that show aggressive behavior. There have been incidents of emotional-support animals biting passengers.

The transportation department stood by an earlier decision to prohibit airlines from banning entire dog breeds.

That is a setback for Delta Air Lines, which banned “pit bull type dogs” in 2018, a move that was criticized by disability advocates.

Delta, however, is giving no indication of backing down. In a statement, a Delta spokeswoman said the airline is reviewing the new rule but, “At this time, there are no changes to Delta’s current service and support animal policies.”",TheGuardian,1,,,,,,,,,,,,
1144,1144,Clayton Kershaw Insists He’s Still Fresh Enough To Melt Down Out Of The Bullpen,[],"LOS ANGELES—Expressing his desire to continue contributing to the World Series in any small way after two quality starts, Clayton Kershaw reassured his Dodgers teammates Tuesday that he was still fresh enough to melt down out of the bullpen. “I know everyone expects me to be completely spent, but this is the World Series and I’m still ready to go if the team needs me to blow a game in relief,” said Kershaw, clarifying that his throwing arm felt great thanks to the strict tantrum limit he followed during the regular season. “I’ve got plenty of gas in the tank to throw some beach balls. It’s not really a big deal to blow our shot at a championship on two-days rest. We’re one game away from taking this, which means all hands on deck—we all need to chip in to make sure we have a heartbreaking collapse.” At press time, Kershaw had started warming up in the bullpen by accidentally beaning his pitchin g coach.

Advertisement",TheOnion,-1,,,,,,,,,,,,
1025,1025,'Worst work in the world': US park rangers grapple with tide of human waste,[],"For 20 years, Richard Lechleitner had a grueling task at Mt Rainier national park: digging human waste out of backcountry toilets and carrying it down the mountains.

Staff at the park in Washington state grappled with an influx of visitors hiking far from roads, along with thousands of climbers attempting to reach the active volcano’s 14,000ft summit each year. People heeded the call of nature on Mt Rainier’s pristine glaciers, as well as in its unvarnished wilderness toilets.

“They’d put in these horrible toilets that just smelled terrible,” Lechleitner said. Maintaining them, he found, was appallingly dirty work.

At national parks across the US, from the peaks of Denali in Alaska to desert backpacking destinations in Utah and Arizona, managers have struggled to deal with this inevitable byproduct of people eager to get outdoors, a desire that continues amid the pandemic. Unlike a discarded Clif Bar wrapper, human waste carries a slew of bacteria and pathogens when left unbagged or otherwise unaddressed.

A backcountry toilet at Camp Muir, a climbing destination at 10,000ft on Washington’s Mt Rainier. Photograph: Kyle Roepke/Courtesy Geoff Hill

Colorado’s Rocky Mountain national park has been hit especially hard. There, a surge in visitors meant toilet paper became a more common sight in wilderness areas, rangers told the Guardian. But the park is now known nationally for pioneering a solution used at other sites, including Mt Rainier.

Between 2016 and 2019, the 265,000-acre park near Denver saw a 40% increase in visitors hiking and climbing its woods and jagged peaks. In 2019, it was the third-most visited national park in the US.

More hikers than ever were flocking to Longs Peak, a sheer 14,000ft mountain near the continental divide. The main trail attracts thousands of people each day during the summer, but around the mountain there are just four toilets, spread miles apart. That leaves hikers with limited options.

By 2015, rangers were trekking to the toilets and finding repulsive conditions. At its worst, the solid matter would freeze and thaw repeatedly and rise above the seat. Rangers would have to dig the material from the chamber and load it into a five-gallon bucket, place the cargo on to a pack animal and ride down.

“This is some of the worst work in the world,” said Geoff Hill, a toilet entrepreneur who worked with the park’s rangers as a doctoral student studying backcountry waste.

Because the toilets were in such a sordid state, many hikers probably refused to use them, opting instead to dig a shallow hole or cover their business with a rock.

Human pathogens can sully streams and harm high-altitude denizens, such as marmots. The beaver-like creatures would sometimes become stuck inside the toilet chambers and covered in waste, according to park staff.

Park chiefs poured time and resources into a solution. They settled on a nifty toilet product that Hill designed, called ToiletTech.

The system separates urine from solid waste, which creates cleaner excrement – and less work for rangers. Beneath the toilet seat, excrement lands on a small conveyor belt, while urine flows through a separate pipe and into a septic field. When a visitor presses a foot-powered pump inside the bathroom, ordure travels from the conveyor belt into its own chamber. There, it remains dry, lightweight and free of viruses usually present in a wet barrel of urine-soaked waste.

The new facilities, which replaced the four toilets near Longs Peak, have since helped cut down on solid matter in the area and made rangers’ lives much easier, although 200mph winds once blew the doors off a unit in the Boulder Field area.

Land managers have installed Hill’s toilets across the country to rave reviews, from Angel’s Landing in Utah’s Zion national park to Terwilliger Hot Springs outside Portland, Oregon, as well as at Mt Rainier.

“If I was to win the lottery, I literally would go out … and buy enough toilets to work in all of the backcountry camps at Mt Rainier,” Lechleitner said of the new design.

But even Hill’s toilets come with drawbacks. Waste from remote areas is still flown out by helicopter, which is expensive. Lechleitner also said the ToiletTech units aren’t cheap, at $4,000 per unit, and National Park System maintenance upgrades are notoriously backlogged.

A helicopter delivers parts for new toilets installed near Longs Peak in Rocky Mountain national park, in 2018. Photograph: Courtesy Rick Sommerfeld

Mt Rainier is a petri dish for experiments in another, cheaper method of waste control: requiring climbers to carry their own excreta off the mountain when they’re not near bathrooms.

Land managers will either supply visitors with a kind of plastic bag – often containing an inner lining that seals and neutralizes some of the smell – or ask that they bring their own.

Merely asking hikers to carry their waste has helped protect Coyote Gulch, a maze of narrow canyons swarmed with backpackers in Utah’s Glen Canyon national recreation area, and other popular canyons. The dry environment means waste won’t degrade easily there, and the remote region only has one toilet, said the ranger Steve Henry.

“People are really opening up to the idea,” Henry said.

Plastic bags aren’t a perfect fix – they have to be incinerated at a cost to already cash-strapped agencies, or tossed in a landfill. And people generally don’t want to carry their own feces for days on end.

If a bathroom is still miles away and hikers don’t have a carry-out bag, the best thing they can is tote a trowel to a spot far from streams and trails, said Ben Lawhorn, director of education and research for the outdoor ethics group Leave No Trace.

“Once you get eight miles into the backcountry, it’s up to you to dig a hole,” Lawhorn said.",TheGuardian,1,,,,,,,,,,,,
914,914,The Guardian Puzzles subscription FAQs,[],"About the app

What is the Guardian Puzzle app?

The Guardian Puzzles app is a new app for crossword and puzzle enthusiasts. Built with the Guardian’s in-depth knowledge and vast archive of crosswords and sudoku, it comes with new playing features for playing alone or with friends.

What puzzles do I get with the app?

The app will feature 15 new crosswords every week and new sudoku puzzles daily, as well as access to over 15,ooo puzzles from the Guardian archive. Developed for crossword and puzzle enthusiasts, subscribers can choose between quick, cryptic, speedy, quiptic, prize, everyman and weekend crosswords, and five levels of sudoku. The app has special features including a two-player mode allowing readers to play with friends, time their game, share their scores socially, and play offline. It also comes with useful help and clue functions and an easy to navigate calendar of the enormous Guardian puzzles archive, plus you can search by your favourite setter.

What devices does the app work on?

The Guardian app works on all Apple devices running iOS 11 and above and all Android devices running 5.0 and above.

Is the app available in all countries?

Yes, although this is a UK focussed product the app will be available to purchase in every country through the Apple App store and Google Play store.

Subscriptions

How can I subscribe?

You can subscribe from within the app, or by visiting our listing in the App Store or Google Play and choosing a subscription to activate.

How much does a subscription cost?

Monthly subscriptions are available from £3.49 and annual subscriptions are £32.99. Please check the Google Play and App Stores for current pricing outside of the UK.

What does a subscription give me access to?

By subscribing to The Guardian Puzzles you will get access to all content and features within the app including over 15,000 crossword and sudoku puzzles and new features such as the ability to complete a puzzle with a friend.

Can I try the app before I subscribe?

Yes, we are initially offering new subscribers to The Guardian Puzzles a 45 day free trial so that you can experience the app before payment is required.

I’m a print/digital subscriber, do I get access to the Guardian Puzzles?

No, this app sits separately to our other subscription products.

Can I still play crosswords online or in the premium tier of the app?



The daily crosswords will still be available on theguardian.com and you will still have access to the daily crosswords and the archive if you are a subscriber to the premium tier of the Guardian app.

How can I cancel a subscription?

Subscriptions are handled directly by Apple and Google, so you can’t cancel them from within the Guardian Puzzles app. Instead, follow these instructions:

Apple

Go to your iPhone’s settings.

Select ‘iTunes and App Store’ in the list and then tap on your Apple ID.

Select ‘View Apple ID’ and then tap on ‘Subscriptions’. Here, you can cancel or renew any subscriptions you have.

Android

Open the Google Play Store app.

Open the menu (three horizontal lines) in the top left and then select ‘Subscriptions’

Select your Guardian subscription to see the full details. Here, you can cancel or renew the subscription.

Please note: after cancelling a subscription, you will continue to get access until your current subscription period has ended. We cannot offer refunds for part of a subscription once a subscription period has started.

How do I restore my subscription on a new device?

If you get a new phone, or reset your current one, you can easily restore your subscription.

Apple

Open the menu in the Guardian app, tap the cog in the bottom left to open settings, select ‘I’m a Guardian subscriber’ and tap on ‘I Have an App Store Subscription’. Please note that you will need to log in or confirm with the same Apple ID that you used when purchasing your original subscription in order to restore it.

Android

Please ensure that you are signed into the Google Wallet account that the subscription is associated with, and that this is set to the primary account in the Google Wallet app. Once complete, any active subscriptions will automatically be restored.

Signing In

Sign in screen for Guardian Puzzles.

As of version 1.2, released 29 June 2020, The Guardian Puzzles app requires all users to sign in. Sign in allows us to restore your puzzle progress between multiple devices, a much requested feature delivered in this version.

Users of previous versions, will need to sign in to resume solving puzzles, to make this as easy as possible we support sign in via Google, Facebook and Apple as well as with a Guardian account.

Getting in touch

Who can I speak to about my subscription?

If you have a query about app subscriptions, or require any help with the app, please contact puzzles.customerservice@theguardian.com

Who do I send feedback to?



If you have any suggestions on how we can improve our app please email puzzles.feedback@theguardian.com

How do I submit Prize crosswords from the app?

Completed Prize crosswords can be printed directly from the print menu within the Puzzle app. Completed puzzles should sent to: The Guardian Crossword, PO Box 17566, Birmingham, B33 3EZ or fax to 0121 742 1313.

Competition entries for the latest Prize crossword must be received by the first post on the Friday after the puzzle appears. The first five correct entries drawn each week win Can You Solve My Problems.

Full Terms and Conditions available here.

How do I submit an Everyman puzzle from the app?

Completed Everyman crosswords can be printed directly from the print menu within the Puzzle app. Completed Everyman crosswords should be printed out and sent to: The Observer, PO Box 17566, Birmingham, B33 3EZ

Competition entries for the latest Everyman crossword must be postmarked no later than Saturday night. The ﬁrst five correct solutions opened will receive £15 in book tokens.

Full terms and conditions available here.",TheGuardian,1,,,,,,,,,,,,
670,670,'No time for complacency': WHO chief urges caution over festive season – video,[],"Spending time with friends and family at Christmas is 'not worth putting them or yourself at risk', Tedros Adhanom Ghebreyesus, head of the World Health Organization, has said.

He advised people to consider not travelling during the next few months, and urged 'extreme caution' despite last week seeing the first decline in newly reported cases globally since September, saying these gains could easily be lost

",TheGuardian,1,,,,,,,,,,,,
